timestamp,tcp_inuse,tcp_mem_pages
1772706200.500300799,40,0
1772706201.537952154,40,0
1772706202.561129379,40,0
1772706203.572145078,40,78
1772706204.580171599,40,453
1772706205.586547918,40,788
1772706206.596313361,40,799
1772706207.604110835,40,676
1772706208.610185124,40,604
1772706209.616030362,40,302
1772706210.622186677,40,412
1772706211.628141621,40,437
1772706212.633843503,40,1014
1772706213.640308182,42,386
1772706214.648757033,39,22
1772706215.656807191,39,107
1772706216.665190092,39,472
1772706217.672373214,39,934
1772706218.680331970,39,433
1772706219.688531871,39,0
1772706220.694757011,39,287
1772706221.700911639,39,1024
1772706222.707289048,39,521
1772706223.714407736,39,721
1772706224.720829475,39,54
1772706225.727144404,39,0
1772706226.733902689,39,380
1772706227.741148187,39,989
1772706228.749791281,39,409
1772706229.756258803,39,888
1772706230.764396114,39,0
1772706231.772208883,39,0
1772706232.778670486,39,693
1772706233.786638929,39,740
1772706234.793376382,39,702
1772706235.801313852,39,438
1772706236.809584523,39,188
1772706237.816037164,39,378
1772706238.823412163,40,650
1772706239.831099738,40,485
1772706240.837301573,40,267
1772706241.843555704,40,759
1772706242.850725634,40,40
1772706243.857009141,40,0
1772706244.862734640,40,475
1772706245.869612993,40,500
1772706246.875647606,40,0
1772706247.881440433,40,393
1772706248.888879962,40,819
1772706249.900217867,40,536
1772706250.907845253,40,550
1772706251.922109048,40,952
1772706252.932711259,40,1630
1772706253.940681187,43,365
1772706254.949689617,43,647
1772706255.957098511,43,71
1772706256.965512097,43,183
1772706257.973573934,43,667
1772706258.993759853,43,1050
1772706260.003295546,43,482
1772706261.011852308,43,1991
1772706262.020152647,43,134
1772706263.028991740,43,1444
1772706264.036992351,43,2575
1772706265.045263313,43,1991
1772706266.053187981,43,0
1772706267.059771750,43,1559
1772706268.068121896,43,953
1772706269.077813709,42,846
1772706270.085237975,42,2133
1772706271.093036226,42,350
1772706272.101401965,42,0
1772706273.109291289,42,80
1772706274.118249836,41,80
1772706275.146983040,41,80
