timestamp,cpu_idx,processed,dropped,time_squeeze
1772854991.848425562,0,0x046725a6,0x00000000,0x00000007
1772854991.848425562,1,0x05270de5,0x00000000,0x00000000
1772854991.848425562,2,0x056b7a3b,0x00000000,0x00000000
1772854991.848425562,3,0x057276f2,0x00000000,0x00000000
1772854991.848425562,4,0x05bb33e1,0x00000000,0x00000000
1772854991.848425562,5,0x0546a5d0,0x00000000,0x00000000
1772854991.848425562,6,0x0574d944,0x00000000,0x00000000
1772854991.848425562,7,0x04db336d,0x00000000,0x00000000
1772854993.013974130,0,0x046725af,0x00000000,0x00000007
1772854993.013974130,1,0x05270e9a,0x00000000,0x00000000
1772854993.013974130,2,0x056b7a53,0x00000000,0x00000000
1772854993.013974130,3,0x057276f3,0x00000000,0x00000000
1772854993.013974130,4,0x05bb33f6,0x00000000,0x00000000
1772854993.013974130,5,0x0546a5e1,0x00000000,0x00000000
1772854993.013974130,6,0x0574d97b,0x00000000,0x00000000
1772854993.013974130,7,0x04db336d,0x00000000,0x00000000
1772854994.099573326,0,0x046725b8,0x00000000,0x00000007
1772854994.099573326,1,0x05270fa4,0x00000000,0x00000000
1772854994.099573326,2,0x056b8088,0x00000000,0x00000000
1772854994.099573326,3,0x0572775c,0x00000000,0x00000000
1772854994.099573326,4,0x05bb3403,0x00000000,0x00000000
1772854994.099573326,5,0x0546a5fa,0x00000000,0x00000000
1772854994.099573326,6,0x0574dd2e,0x00000000,0x00000000
1772854994.099573326,7,0x04db4e57,0x00000000,0x00000000
1772854995.399541363,0,0x0467273b,0x00000000,0x00000007
1772854995.399541363,1,0x05270fe1,0x00000000,0x00000000
1772854995.399541363,2,0x056b8ed4,0x00000000,0x00000000
1772854995.399541363,3,0x0572778b,0x00000000,0x00000000
1772854995.399541363,4,0x05bb3433,0x00000000,0x00000000
1772854995.399541363,5,0x0546a5fa,0x00000000,0x00000000
1772854995.399541363,6,0x0574e2ad,0x00000000,0x00000000
1772854995.399541363,7,0x04dbd2a4,0x00000000,0x00000000
1772854996.623873753,0,0x0467279b,0x00000000,0x00000007
1772854996.623873753,1,0x05271014,0x00000000,0x00000000
1772854996.623873753,2,0x056b8efe,0x00000000,0x00000000
1772854996.623873753,3,0x05728410,0x00000000,0x00000000
1772854996.623873753,4,0x05bb91e0,0x00000000,0x00000000
1772854996.623873753,5,0x0546a5fa,0x00000000,0x00000000
1772854996.623873753,6,0x0574e2af,0x00000000,0x00000000
1772854996.623873753,7,0x04dbe438,0x00000000,0x00000000
1772854997.820816227,0,0x04676f56,0x00000000,0x00000007
1772854997.820816227,1,0x05271056,0x00000000,0x00000000
1772854997.820816227,2,0x056b9716,0x00000000,0x00000000
1772854997.820816227,3,0x0572845a,0x00000000,0x00000000
1772854997.820816227,4,0x05bc14f3,0x00000000,0x00000000
1772854997.820816227,5,0x0546a99c,0x00000000,0x00000000
1772854997.820816227,6,0x0574e2af,0x00000000,0x00000000
1772854997.820816227,7,0x04dc08d2,0x00000000,0x00000000
1772854999.019588804,0,0x04676f56,0x00000000,0x00000007
1772854999.019588804,1,0x052710ac,0x00000000,0x00000000
1772854999.019588804,2,0x056c222f,0x00000000,0x00000000
1772854999.019588804,3,0x0572845c,0x00000000,0x00000000
1772854999.019588804,4,0x05bc1504,0x00000000,0x00000000
1772854999.019588804,5,0x0546a9e7,0x00000000,0x00000000
1772854999.019588804,6,0x05753325,0x00000000,0x00000000
1772854999.019588804,7,0x04dc24b6,0x00000000,0x00000000
1772855000.218704385,0,0x04676f59,0x00000000,0x00000007
1772855000.218704385,1,0x05271111,0x00000000,0x00000000
1772855000.218704385,2,0x056cc911,0x00000000,0x00000000
1772855000.218704385,3,0x0572845c,0x00000000,0x00000000
1772855000.218704385,4,0x05bc1504,0x00000000,0x00000000
1772855000.218704385,5,0x0546aa3a,0x00000000,0x00000000
1772855000.218704385,6,0x0575a676,0x00000000,0x00000000
1772855000.218704385,7,0x04dc24d7,0x00000000,0x00000000
1772855001.389863345,0,0x04676f59,0x00000000,0x00000007
1772855001.389863345,1,0x0527111a,0x00000000,0x00000000
1772855001.389863345,2,0x056d6c3d,0x00000000,0x00000000
1772855001.389863345,3,0x0572845c,0x00000000,0x00000000
1772855001.389863345,4,0x05bc1504,0x00000000,0x00000000
1772855001.389863345,5,0x0546aa4c,0x00000000,0x00000000
1772855001.389863345,6,0x05762367,0x00000000,0x00000000
1772855001.389863345,7,0x04dc24eb,0x00000000,0x00000000
1772855002.532044164,0,0x04676f5e,0x00000000,0x00000007
1772855002.532044164,1,0x05271125,0x00000000,0x00000000
1772855002.532044164,2,0x056dfe2f,0x00000000,0x00000000
1772855002.532044164,3,0x0572a5c2,0x00000000,0x00000000
1772855002.532044164,4,0x05bc1504,0x00000000,0x00000000
1772855002.532044164,5,0x0546b79f,0x00000000,0x00000000
1772855002.532044164,6,0x05766f91,0x00000000,0x00000000
1772855002.532044164,7,0x04dc2578,0x00000000,0x00000000
1772855003.655825466,0,0x04676f5e,0x00000000,0x00000007
1772855003.655825466,1,0x0527112f,0x00000000,0x00000000
1772855003.655825466,2,0x056e2fb1,0x00000000,0x00000000
1772855003.655825466,3,0x057330f0,0x00000000,0x00000000
1772855003.655825466,4,0x05bc1504,0x00000000,0x00000000
1772855003.655825466,5,0x0546c732,0x00000000,0x00000000
1772855003.655825466,6,0x05766fd3,0x00000000,0x00000000
1772855003.655825466,7,0x04dc293c,0x00000000,0x00000000
1772855004.805808619,0,0x046776a5,0x00000000,0x00000007
1772855004.805808619,1,0x05271d93,0x00000000,0x00000000
1772855004.805808619,2,0x056eaf22,0x00000000,0x00000000
1772855004.805808619,3,0x0573bd0c,0x00000000,0x00000000
1772855004.805808619,4,0x05bc1e8a,0x00000000,0x00000000
1772855004.805808619,5,0x0546c952,0x00000000,0x00000000
1772855004.805808619,6,0x05766fef,0x00000000,0x00000000
1772855004.805808619,7,0x04dc4005,0x00000000,0x00000000
1772855006.023532268,0,0x04678c66,0x00000000,0x00000007
1772855006.023532268,1,0x05272afd,0x00000000,0x00000000
1772855006.023532268,2,0x056f41f9,0x00000000,0x00000000
1772855006.023532268,3,0x0573f1b3,0x00000000,0x00000000
1772855006.023532268,4,0x05bc3b42,0x00000000,0x00000000
1772855006.023532268,5,0x0546d68a,0x00000000,0x00000000
1772855006.023532268,6,0x0576f344,0x00000000,0x00000000
1772855006.023532268,7,0x04dc630b,0x00000000,0x00000000
1772855007.228986183,0,0x0467a6bf,0x00000000,0x00000007
1772855007.228986183,1,0x05273eb4,0x00000000,0x00000000
1772855007.228986183,2,0x056fd86f,0x00000000,0x00000000
1772855007.228986183,3,0x0574055a,0x00000000,0x00000000
1772855007.228986183,4,0x05bc4aec,0x00000000,0x00000000
1772855007.228986183,5,0x0546debf,0x00000000,0x00000000
1772855007.228986183,6,0x0577803e,0x00000000,0x00000000
1772855007.228986183,7,0x04dc8160,0x00000000,0x00000000
1772855008.462922071,0,0x0467be0d,0x00000000,0x00000007
1772855008.462922071,1,0x05274fc3,0x00000000,0x00000000
1772855008.462922071,2,0x05706e0b,0x00000000,0x00000000
1772855008.462922071,3,0x05740dfc,0x00000000,0x00000000
1772855008.462922071,4,0x05bc5c3b,0x00000000,0x00000000
1772855008.462922071,5,0x0546e4ae,0x00000000,0x00000000
1772855008.462922071,6,0x057813fd,0x00000000,0x00000000
1772855008.462922071,7,0x04dc91d7,0x00000000,0x00000000
1772855009.695081785,0,0x0467dd5c,0x00000000,0x00000007
1772855009.695081785,1,0x05275f9b,0x00000000,0x00000000
1772855009.695081785,2,0x0570f3c9,0x00000000,0x00000000
1772855009.695081785,3,0x05744151,0x00000000,0x00000000
1772855009.695081785,4,0x05bc76fb,0x00000000,0x00000000
1772855009.695081785,5,0x0546e4c9,0x00000000,0x00000000
1772855009.695081785,6,0x0578a1b7,0x00000000,0x00000000
1772855009.695081785,7,0x04dca8e1,0x00000000,0x00000000
1772855010.890555123,0,0x0467f6a2,0x00000000,0x00000007
1772855010.890555123,1,0x052767ab,0x00000000,0x00000000
1772855010.890555123,2,0x0570fa61,0x00000000,0x00000000
1772855010.890555123,3,0x05745326,0x00000000,0x00000000
1772855010.890555123,4,0x05bc8fc0,0x00000000,0x00000000
1772855010.890555123,5,0x0546ee64,0x00000000,0x00000000
1772855010.890555123,6,0x05794abe,0x00000000,0x00000000
1772855010.890555123,7,0x04dd4198,0x00000000,0x00000000
1772855012.076007524,0,0x04681617,0x00000000,0x00000007
1772855012.076007524,1,0x05276fa4,0x00000000,0x00000000
1772855012.076007524,2,0x057102e1,0x00000000,0x00000000
1772855012.076007524,3,0x0574f62a,0x00000000,0x00000000
1772855012.076007524,4,0x05bc9a56,0x00000000,0x00000000
1772855012.076007524,5,0x0546fe09,0x00000000,0x00000000
1772855012.076007524,6,0x057953d2,0x00000000,0x00000000
1772855012.076007524,7,0x04ddcf7c,0x00000000,0x00000000
1772855013.307451427,0,0x046835fe,0x00000000,0x00000007
1772855013.307451427,1,0x0527876b,0x00000000,0x00000000
1772855013.307451427,2,0x0571090e,0x00000000,0x00000000
1772855013.307451427,3,0x057595d6,0x00000000,0x00000000
1772855013.307451427,4,0x05bcb59d,0x00000000,0x00000000
