timestamp,tcp_inuse,tcp_mem_pages
1772704691.420013878,36,0
1772704692.480245003,36,0
1772704693.512266066,36,951
1772704694.532066309,36,0
1772704695.557043612,36,1005
1772704696.580823088,36,649
1772704697.602544376,36,0
1772704698.620731182,36,0
1772704699.638850162,36,0
1772704700.660901253,36,0
1772704701.678865629,36,128
1772704702.698688051,36,767
1772704703.717156195,38,1
1772704704.739579930,35,0
1772704705.756857337,35,1128
1772704706.775425326,35,37
1772704707.788305401,35,0
1772704708.810886227,35,0
1772704709.829831428,36,1423
1772704710.849274480,36,0
1772704711.869902358,36,0
1772704712.893896425,36,0
1772704713.912436454,36,653
1772704714.932384944,36,577
1772704715.951832887,36,0
1772704716.968948157,36,365
1772704717.984864099,36,0
1772704719.007440047,36,113
1772704720.026818195,36,0
1772704721.043829811,36,0
1772704722.056818990,36,0
1772704723.073845972,36,0
1772704724.088841689,36,0
1772704725.107917335,36,0
1772704726.129497752,36,781
1772704727.147783128,36,0
1772704728.164894806,36,49
1772704729.180779586,36,255
1772704730.207826845,36,0
1772704731.224798675,35,0
1772704732.258945681,35,0
1772704733.283192616,35,0
1772704734.298872047,35,0
1772704735.320979930,35,0
1772704736.346732679,35,0
1772704737.363881753,35,0
1772704738.384767797,41,303
1772704739.403096744,40,962
1772704740.419688349,40,0
1772704741.438869334,40,213
1772704742.459510271,40,1224
1772704743.476933895,40,0
1772704744.499348618,40,0
1772704745.516912543,40,0
1772704746.536925516,40,0
1772704747.557850758,40,32
1772704748.577869058,40,766
1772704749.593344309,40,0
1772704750.619736416,40,130
1772704751.635897683,40,0
1772704752.654765016,40,0
1772704753.675905614,40,0
1772704754.692852847,40,0
1772704755.711344273,40,0
1772704756.729865751,40,0
1772704757.753710087,40,0
1772704758.772248025,40,1517
1772704759.793852914,40,0
1772704760.818888795,40,134
1772704761.842955162,40,0
1772704762.859910876,40,144
1772704763.879852574,40,0
1772704764.888981121,38,0
1772704765.898899076,39,0
1772704766.909397054,39,0
