@runq_delay_us: 
[128, 256)           136 |                                                    |
[256, 512)            67 |                                                    |
[512, 1K)             70 |                                                    |
[1K, 2K)              48 |                                                    |
[2K, 4K)              51 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 48689
@runq_delay_us: 
[0]                  201 |                                                    |
[1]                 3087 |@@@@@@@@@                                           |
[2, 4)             16699 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              4288 |@@@@@@@@@@@@@                                       |
[8, 16)             1180 |@@@                                                 |
[16, 32)             928 |@@                                                  |
[32, 64)            1345 |@@@@                                                |
[64, 128)            250 |                                                    |
[128, 256)           150 |                                                    |
[256, 512)            80 |                                                    |
[512, 1K)             79 |                                                    |
[1K, 2K)              50 |                                                    |
[2K, 4K)              56 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 55123
@runq_delay_us: 
[0]                  219 |                                                    |
[1]                 3521 |@@@@@@@@@@                                          |
[2, 4)             18164 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              4549 |@@@@@@@@@@@@@                                       |
[8, 16)             1218 |@@@                                                 |
[16, 32)             967 |@@                                                  |
[32, 64)            1458 |@@@@                                                |
[64, 128)            257 |                                                    |
[128, 256)           150 |                                                    |
[256, 512)            83 |                                                    |
[512, 1K)             82 |                                                    |
[1K, 2K)              50 |                                                    |
[2K, 4K)              56 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 59847
@runq_delay_us: 
[0]                  236 |                                                    |
[1]                 3799 |@@@@@@@@@@                                          |
[2, 4)             19280 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              4811 |@@@@@@@@@@@@                                        |
[8, 16)             1266 |@@@                                                 |
[16, 32)            1002 |@@                                                  |
[32, 64)            1522 |@@@@                                                |
[64, 128)            263 |                                                    |
[128, 256)           151 |                                                    |
[256, 512)            83 |                                                    |
[512, 1K)             84 |                                                    |
[1K, 2K)              51 |                                                    |
[2K, 4K)              56 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 63449
@runq_delay_us: 
[0]                  243 |                                                    |
[1]                 4130 |@@@@@@@@@@                                          |
[2, 4)             20135 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              5089 |@@@@@@@@@@@@@                                       |
[8, 16)             1311 |@@@                                                 |
[16, 32)            1043 |@@                                                  |
[32, 64)            1545 |@@@                                                 |
[64, 128)            268 |                                                    |
[128, 256)           152 |                                                    |
[256, 512)            84 |                                                    |
[512, 1K)             87 |                                                    |
[1K, 2K)              52 |                                                    |
[2K, 4K)              56 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 66588
@runq_delay_us: 
[0]                  251 |                                                    |
[1]                 4446 |@@@@@@@@@@                                          |
