@runq_delay_us: 
[64, 128)            495 |                                                    |
[128, 256)           250 |                                                    |
[256, 512)           148 |                                                    |
[512, 1K)            164 |                                                    |
[1K, 2K)              76 |                                                    |
[2K, 4K)              73 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 170824
@runq_delay_us: 
[0]                  581 |                                                    |
[1]                12936 |@@@@@@@@@@@@                                        |
[2, 4)             53737 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             13321 |@@@@@@@@@@@@                                        |
[8, 16)             2722 |@@                                                  |
[16, 32)            2184 |@@                                                  |
[32, 64)            2371 |@@                                                  |
[64, 128)            509 |                                                    |
[128, 256)           254 |                                                    |
[256, 512)           158 |                                                    |
[512, 1K)            166 |                                                    |
[1K, 2K)              79 |                                                    |
[2K, 4K)              74 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 174469
@runq_delay_us: 
[0]                  593 |                                                    |
[1]                13260 |@@@@@@@@@@@@                                        |
[2, 4)             54703 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             13564 |@@@@@@@@@@@@                                        |
[8, 16)             2754 |@@                                                  |
[16, 32)            2205 |@@                                                  |
[32, 64)            2411 |@@                                                  |
[64, 128)            512 |                                                    |
[128, 256)           255 |                                                    |
[256, 512)           159 |                                                    |
[512, 1K)            166 |                                                    |
[1K, 2K)              80 |                                                    |
[2K, 4K)              74 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 177746
@runq_delay_us: 
[0]                  599 |                                                    |
[1]                13519 |@@@@@@@@@@@@                                        |
[2, 4)             56588 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             13897 |@@@@@@@@@@@@                                        |
[8, 16)             2821 |@@                                                  |
[16, 32)            2270 |@@                                                  |
[32, 64)            2519 |@@                                                  |
[64, 128)            525 |                                                    |
[128, 256)           258 |                                                    |
[256, 512)           162 |                                                    |
[512, 1K)            169 |                                                    |
[1K, 2K)              81 |                                                    |
[2K, 4K)              74 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 183108
@runq_delay_us: 
[0]                  608 |                                                    |
[1]                13853 |@@@@@@@@@@@@                                        |
[2, 4)             57507 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             14161 |@@@@@@@@@@@@                                        |
[8, 16)             2859 |@@                                                  |
[16, 32)            2290 |@@                                                  |
[32, 64)            2531 |@@                                                  |
[64, 128)            526 |                                                    |
[128, 256)           259 |                                                    |
[256, 512)           162 |                                                    |
[512, 1K)            169 |                                                    |
[1K, 2K)              82 |                                                    |
[2K, 4K)              74 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 186271
@runq_delay_us: 
[0]                  618 |                                                    |
[1]                14250 |@@@@@@@@@@@@                                        |
[2, 4)             58423 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             14445 |@@@@@@@@@@@@                                        |
[8, 16)             2890 |@@                                                  |
[16, 32)            2316 |@@                                                  |
[32, 64)            2554 |@@                                                  |
[64, 128)            539 |                                                    |
[128, 256)           261 |                                                    |
[256, 512)           162 |                                                    |
[512, 1K)            173 |                                                    |
[1K, 2K)              82 |                                                    |
[2K, 4K)              75 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 189626
@runq_delay_us: 
[0]                  642 |                                                    |
[1]                14697 |@@@@@@@@@@@@                                        |
[2, 4)             59511 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             14719 |@@@@@@@@@@@@                                        |
[8, 16)             2941 |@@                                                  |
[16, 32)            2353 |@@                                                  |
[32, 64)            2575 |@@                                                  |
[64, 128)            550 |                                                    |
[128, 256)           269 |                                                    |
[256, 512)           171 |                                                    |
[512, 1K)            176 |                                                    |
[1K, 2K)              88 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 193477
@runq_delay_us: 
[0]                  644 |                                                    |
[1]                15026 |@@@@@@@@@@@@                                        |
[2, 4)             60437 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             14944 |@@@@@@@@@@@@                                        |
[8, 16)             2976 |@@                                                  |
[16, 32)            2374 |@@                                                  |
[32, 64)            2593 |@@                                                  |
[64, 128)            553 |                                                    |
[128, 256)           272 |                                                    |
[256, 512)           173 |                                                    |
[512, 1K)            177 |                                                    |
[1K, 2K)              88 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 196574
@runq_delay_us: 
[0]                  648 |                                                    |
[1]                15194 |@@@@@@@@@@@@                                        |
[2, 4)             61508 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             15205 |@@@@@@@@@@@@                                        |
[8, 16)             3012 |@@                                                  |
[16, 32)            2390 |@@                                                  |
[32, 64)            2612 |@@                                                  |
[64, 128)            554 |                                                    |
[128, 256)           273 |                                                    |
[256, 512)           174 |                                                    |
[512, 1K)            177 |                                                    |
[1K, 2K)              89 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 199701
@runq_delay_us: 
[0]                  649 |                                                    |
[1]                15343 |@@@@@@@@@@@@                                        |
[2, 4)             62551 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             15429 |@@@@@@@@@@@@                                        |
[8, 16)             3059 |@@                                                  |
[16, 32)            2426 |@@                                                  |
[32, 64)            2631 |@@                                                  |
[64, 128)            558 |                                                    |
[128, 256)           276 |                                                    |
[256, 512)           175 |                                                    |
[512, 1K)            179 |                                                    |
[1K, 2K)              89 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 202681
@runq_delay_us: 
[0]                  746 |                                                    |
[1]                15731 |@@@@@@@@@@@@                                        |
[2, 4)             63364 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             15608 |@@@@@@@@@@@@                                        |
[8, 16)             3087 |@@                                                  |
[16, 32)            2455 |@@                                                  |
[32, 64)            2645 |@@                                                  |
[64, 128)            566 |                                                    |
[128, 256)           277 |                                                    |
[256, 512)           175 |                                                    |
[512, 1K)            181 |                                                    |
[1K, 2K)              89 |                                                    |
[2K, 4K)              76 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 205739
@runq_delay_us: 
[0]                  783 |                                                    |
[1]                16155 |@@@@@@@@@@@@@                                       |
[2, 4)             64476 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             15886 |@@@@@@@@@@@@                                        |
[8, 16)             3146 |@@                                                  |
[16, 32)            2491 |@@                                                  |
[32, 64)            2673 |@@                                                  |
[64, 128)            579 |                                                    |
[128, 256)           283 |                                                    |
[256, 512)           175 |                                                    |
[512, 1K)            187 |                                                    |
[1K, 2K)              90 |                                                    |
[2K, 4K)              77 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 209636
@runq_delay_us: 
[0]                  785 |                                                    |
[1]                16288 |@@@@@@@@@@@@                                        |
[2, 4)             65553 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             16134 |@@@@@@@@@@@@                                        |
[8, 16)             3185 |@@                                                  |
[16, 32)            2515 |@                                                   |
[32, 64)            2701 |@@                                                  |
[64, 128)            583 |                                                    |
[128, 256)           284 |                                                    |
[256, 512)           175 |                                                    |
[512, 1K)            188 |                                                    |
[1K, 2K)              90 |                                                    |
[2K, 4K)              77 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 212718
@runq_delay_us: 
[0]                  791 |                                                    |
[1]                16505 |@@@@@@@@@@@@                                        |
[2, 4)             66667 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             16393 |@@@@@@@@@@@@                                        |
[8, 16)             3246 |@@                                                  |
[16, 32)            2553 |@                                                   |
[32, 64)            2733 |@@                                                  |
[64, 128)            585 |                                                    |
[128, 256)           291 |                                                    |
[256, 512)           179 |                                                    |
[512, 1K)            191 |                                                    |
[1K, 2K)              92 |                                                    |
[2K, 4K)              77 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 216136
@runq_delay_us: 
[0]                  802 |                                                    |
[1]                16766 |@@@@@@@@@@@@                                        |
[2, 4)             67798 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             16602 |@@@@@@@@@@@@                                        |
[8, 16)             3282 |@@                                                  |
[16, 32)            2583 |@                                                   |
[32, 64)            2748 |@@                                                  |
[64, 128)            585 |                                                    |
[128, 256)           292 |                                                    |
[256, 512)           180 |                                                    |
[512, 1K)            194 |                                                    |
[1K, 2K)              92 |                                                    |
[2K, 4K)              77 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 219495
@runq_delay_us: 
[0]                  811 |                                                    |
[1]                17078 |@@@@@@@@@@@@                                        |
[2, 4)             68663 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             16852 |@@@@@@@@@@@@                                        |
[8, 16)             3317 |@@                                                  |
[16, 32)            2620 |@                                                   |
[32, 64)            2775 |@@                                                  |
[64, 128)            598 |                                                    |
[128, 256)           296 |                                                    |
[256, 512)           180 |                                                    |
[512, 1K)            197 |                                                    |
[1K, 2K)              92 |                                                    |
[2K, 4K)              77 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 222538
@runq_delay_us: 
[0]                  842 |                                                    |
[1]                17680 |@@@@@@@@@@@@@                                       |
[2, 4)             69889 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             17161 |@@@@@@@@@@@@                                        |
[8, 16)             3376 |@@                                                  |
[16, 32)            2656 |@                                                   |
[32, 64)            2805 |@@                                                  |
[64, 128)            617 |                                                    |
[128, 256)           307 |                                                    |
[256, 512)           184 |                                                    |
[512, 1K)            202 |                                                    |
[1K, 2K)              94 |                                                    |
[2K, 4K)              81 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 227099
@runq_delay_us: 
[0]                  857 |                                                    |
[1]                17999 |@@@@@@@@@@@@@                                       |
[2, 4)             71140 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             17428 |@@@@@@@@@@@@                                        |
[8, 16)             3412 |@@                                                  |
[16, 32)            2678 |@                                                   |
[32, 64)            2826 |@@                                                  |
[64, 128)            622 |                                                    |
[128, 256)           315 |                                                    |
[256, 512)           188 |                                                    |
[512, 1K)            204 |                                                    |
[1K, 2K)              94 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 230957
@runq_delay_us: 
[0]                  869 |                                                    |
[1]                18281 |@@@@@@@@@@@@@                                       |
[2, 4)             72312 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             17681 |@@@@@@@@@@@@                                        |
[8, 16)             3452 |@@                                                  |
[16, 32)            2692 |@                                                   |
[32, 64)            2843 |@@                                                  |
[64, 128)            625 |                                                    |
[128, 256)           317 |                                                    |
[256, 512)           188 |                                                    |
[512, 1K)            206 |                                                    |
[1K, 2K)              95 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 234529
@runq_delay_us: 
[0]                  879 |                                                    |
[1]                18664 |@@@@@@@@@@@@@                                       |
[2, 4)             73274 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             17928 |@@@@@@@@@@@@                                        |
[8, 16)             3487 |@@                                                  |
[16, 32)            2721 |@                                                   |
[32, 64)            2863 |@@                                                  |
[64, 128)            633 |                                                    |
[128, 256)           317 |                                                    |
[256, 512)           188 |                                                    |
[512, 1K)            208 |                                                    |
[1K, 2K)              95 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 237889
@runq_delay_us: 
[0]                  889 |                                                    |
[1]                19019 |@@@@@@@@@@@@@                                       |
[2, 4)             74183 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             18148 |@@@@@@@@@@@@                                        |
[8, 16)             3512 |@@                                                  |
[16, 32)            2754 |@                                                   |
[32, 64)            2884 |@@                                                  |
[64, 128)            640 |                                                    |
[128, 256)           322 |                                                    |
[256, 512)           188 |                                                    |
[512, 1K)            211 |                                                    |
[1K, 2K)              95 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 241037
@runq_delay_us: 
[0]                  922 |                                                    |
[1]                19494 |@@@@@@@@@@@@@                                       |
[2, 4)             75170 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             18406 |@@@@@@@@@@@@                                        |
[8, 16)             3550 |@@                                                  |
[16, 32)            2792 |@                                                   |
[32, 64)            2913 |@@                                                  |
[64, 128)            649 |                                                    |
[128, 256)           330 |                                                    |
[256, 512)           193 |                                                    |
[512, 1K)            212 |                                                    |
[1K, 2K)              97 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 244731
@runq_delay_us: 
[0]                  938 |                                                    |
[1]                19804 |@@@@@@@@@@@@@                                       |
[2, 4)             76058 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             18664 |@@@@@@@@@@@@                                        |
[8, 16)             3584 |@@                                                  |
[16, 32)            2817 |@                                                   |
[32, 64)            2939 |@@                                                  |
[64, 128)            649 |                                                    |
[128, 256)           332 |                                                    |
[256, 512)           194 |                                                    |
[512, 1K)            213 |                                                    |
[1K, 2K)              97 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 247824
@runq_delay_us: 
[0]                  943 |                                                    |
[1]                20041 |@@@@@@@@@@@@@                                       |
[2, 4)             77136 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             18908 |@@@@@@@@@@@@                                        |
[8, 16)             3614 |@@                                                  |
[16, 32)            2839 |@                                                   |
[32, 64)            2956 |@                                                   |
[64, 128)            655 |                                                    |
[128, 256)           335 |                                                    |
[256, 512)           194 |                                                    |
[512, 1K)            213 |                                                    |
[1K, 2K)              97 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 251080
@runq_delay_us: 
[0]                  952 |                                                    |
[1]                20462 |@@@@@@@@@@@@@                                       |
[2, 4)             77997 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             19141 |@@@@@@@@@@@@                                        |
[8, 16)             3642 |@@                                                  |
[16, 32)            2858 |@                                                   |
[32, 64)            2972 |@                                                   |
[64, 128)            658 |                                                    |
[128, 256)           339 |                                                    |
[256, 512)           194 |                                                    |
[512, 1K)            215 |                                                    |
[1K, 2K)              98 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 254261
@runq_delay_us: 
[0]                  955 |                                                    |
[1]                20686 |@@@@@@@@@@@@@                                       |
[2, 4)             79094 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             19409 |@@@@@@@@@@@@                                        |
[8, 16)             3687 |@@                                                  |
[16, 32)            2909 |@                                                   |
[32, 64)            3004 |@                                                   |
[64, 128)            666 |                                                    |
[128, 256)           346 |                                                    |
[256, 512)           196 |                                                    |
[512, 1K)            217 |                                                    |
[1K, 2K)              99 |                                                    |
[2K, 4K)              82 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 257654
@runq_delay_us: 
[0]                  967 |                                                    |
[1]                21092 |@@@@@@@@@@@@@                                       |
[2, 4)             80422 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             19723 |@@@@@@@@@@@@                                        |
[8, 16)             3763 |@@                                                  |
[16, 32)            2979 |@                                                   |
[32, 64)            3079 |@                                                   |
[64, 128)            698 |                                                    |
[128, 256)           361 |                                                    |
[256, 512)           205 |                                                    |
[512, 1K)            230 |                                                    |
[1K, 2K)              99 |                                                    |
[2K, 4K)              87 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 262188
@runq_delay_us: 
[0]                  983 |                                                    |
[1]                21695 |@@@@@@@@@@@@@                                       |
[2, 4)             81199 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             20032 |@@@@@@@@@@@@                                        |
[8, 16)             3804 |@@                                                  |
[16, 32)            3010 |@                                                   |
[32, 64)            3099 |@                                                   |
[64, 128)            705 |                                                    |
[128, 256)           364 |                                                    |
[256, 512)           206 |                                                    |
[512, 1K)            234 |                                                    |
[1K, 2K)              99 |                                                    |
[2K, 4K)              87 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 265746
@runq_delay_us: 
[0]                  985 |                                                    |
[1]                21746 |@@@@@@@@@@@@@                                       |
[2, 4)             81378 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             20067 |@@@@@@@@@@@@                                        |
[8, 16)             3813 |@@                                                  |
[16, 32)            3022 |@                                                   |
[32, 64)            3101 |@                                                   |
[64, 128)            705 |                                                    |
[128, 256)           364 |                                                    |
[256, 512)           207 |                                                    |
[512, 1K)            235 |                                                    |
[1K, 2K)              99 |                                                    |
[2K, 4K)              87 |                                                    |
[4K, 8K)              27 |                                                    |
[8K, 16K)             24 |                                                    |
[16K, 32K)             2 |                                                    |

@per_proc[kworker/1:1]: 
[1]                    1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[gsd-color]: 
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[PerfettoTrace]: 
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[systemd-timesyn]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[systemd-udevd]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[date]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[(iperf3)]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[update-notifier]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[DedicatedWorker]: 
[1]                    1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[z_rd_int_0]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[kworker/u32:10]: 
[1]                    1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[kworker/u32:11]: 
[1]                    1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[chrome_crashpad]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[mc-itemcrawler]: 
[1]                    1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[evolution-alarm]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[gnome-calendar]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[Xwayland]: 
[2, 4)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[gsd-housekeepin]: 
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[ip]: 
[2, 4)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[kerneloops]: 
[2, 4)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[MemoryInfra]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[grep]: 
[2, 4)                 3 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[kcompactd0]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[snap]: 
[2, 4)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |

@per_proc[single]: 
[2, 4)                 1 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |
[4, 8)                 0 |                                                    |
[8, 16)                0 |                                                    |
[16, 32)               0 |                                                    |
[32, 64)               2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[rcu_tasks_trace]: 
[1]                    1 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |
[2, 4)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[cron]: 
[2, 4)                 4 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |@@@@@@@@@@@@@                                       |
[8, 16)                0 |                                                    |
[16, 32)               0 |                                                    |
[32, 64)               1 |@@@@@@@@@@@@@                                       |

@per_proc[CacheThread_Blo]: 
[2, 4)                 1 |@@@@@@@@@@@@@                                       |
[4, 8)                 4 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                0 |                                                    |
[16, 32)               1 |@@@@@@@@@@@@@                                       |

@per_proc[snapd]: 
[1]                    1 |@@@@@@@@@@@@@@@@@                                   |
[2, 4)                 3 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 3 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|

@per_proc[journal-offline]: 
[1]                    4 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                 2 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |
[4, 8)                 0 |                                                    |
[8, 16)                0 |                                                    |
[16, 32)               1 |@@@@@@@@@@@@@                                       |

@per_proc[rcu_exp_gp_kthr]: 
