timestamp,tcp_inuse,tcp_mem_pages
1772859416.833966438,42,360
1772859417.865651137,42,360
1772859418.883528647,42,959
1772859419.906795643,42,728
1772859420.928702137,42,62
1772859421.976839640,42,0
1772859423.001666300,42,743
1772859424.025235896,42,0
1772859425.056409884,42,971
1772859426.080743542,42,800
1772859427.103615559,46,0
1772859428.127365939,51,0
1772859429.148657366,51,0
1772859430.172799467,51,0
1772859431.202768698,51,0
1772859432.225120023,51,0
1772859433.251075257,51,0
1772859434.275626924,49,0
1772859435.308443107,49,0
1772859436.331037779,49,0
1772859437.351368207,49,0
1772859438.364123846,49,0
1772859439.383556217,49,183
1772859440.406830368,49,0
1772859441.434937343,49,0
1772859442.457819804,49,0
1772859443.481996585,49,649
1772859444.500468607,50,773
1772859445.521074701,50,360
1772859446.548669217,49,1156
1772859447.571919047,49,836
1772859448.601500138,51,1331
1772859449.625846036,50,785
1772859450.645466943,50,651
1772859451.669230029,50,0
1772859452.700648859,50,229
1772859453.736228530,50,0
1772859454.766793082,50,0
1772859455.797841931,50,809
1772859456.831413606,50,293
1772859457.856083146,50,105
1772859458.875885664,50,93
1772859459.900553494,50,1333
1772859460.932874479,50,0
1772859461.963823178,50,399
1772859462.989436476,50,0
1772859464.011235135,51,0
1772859465.033078509,52,0
1772859466.058084477,52,195
1772859467.087969997,52,518
1772859468.110111278,53,586
1772859469.132939667,54,477
1772859470.159497683,54,0
1772859471.184614101,55,432
1772859472.212488144,55,0
1772859473.245874285,55,0
1772859474.269042170,52,386
1772859475.292731515,51,0
1772859476.317994901,51,0
1772859477.339709278,52,499
1772859478.407602608,52,174
1772859479.429884911,52,71
1772859480.462292388,52,408
1772859481.486805264,51,0
1772859482.513983836,51,0
1772859483.543100825,51,256
1772859484.567785602,51,856
1772859485.585088872,51,0
1772859486.609677787,51,208
1772859487.636031072,51,0
1772859488.657575401,51,408
1772859489.681860162,51,607
1772859490.714540937,51,326
1772859491.734950880,51,27
1772859492.757168834,51,578
