timestamp,tcp_inuse,tcp_mem_pages
1772851642.716308528,46,0
1772851643.726547881,46,0
1772851644.737059348,46,0
1772851645.740907339,46,0
1772851646.744456108,46,17
1772851647.748136834,46,0
1772851648.751650199,47,0
1772851649.755485565,46,484
1772851650.759070090,46,628
1772851651.762938992,46,38
1772851652.766675321,46,159
1772851653.770216621,46,78
1772851654.774783904,46,0
1772851655.782572856,46,0
1772851656.788783965,46,0
1772851657.797078133,46,0
1772851658.803683734,46,0
1772851659.810666233,46,0
1772851660.822283170,46,410
1772851661.836044634,46,0
1772851662.850531559,46,0
1772851663.867771290,48,0
1772851664.892664707,49,0
1772851665.907874672,49,0
1772851666.922409436,50,0
1772851667.935473122,50,0
1772851668.955898594,50,0
1772851669.971139598,49,0
1772851670.988842012,49,0
1772851672.001740211,48,0
1772851673.011012085,47,124
1772851674.022078803,46,0
1772851675.037690115,46,0
1772851676.048628301,46,0
1772851677.058324608,46,0
1772851678.071740761,46,0
1772851679.087356431,46,0
1772851680.105274241,46,0
1772851681.122440152,46,0
1772851682.132313013,46,0
1772851683.143416283,46,0
1772851684.153909262,46,0
1772851685.163874400,46,0
1772851686.173681810,46,0
1772851687.193649149,46,0
1772851688.204426093,46,0
1772851689.215060907,46,0
1772851690.225566262,46,65
1772851691.237836315,46,0
1772851692.250166625,46,0
1772851693.260832755,46,0
1772851694.270565581,46,0
1772851695.281044685,46,0
1772851696.297777513,46,0
1772851697.318467132,46,0
1772851698.330039956,46,18
1772851699.343550737,46,0
1772851700.356405618,45,0
1772851701.368115899,45,0
1772851702.381747247,45,0
1772851703.396407995,45,0
1772851704.408982474,45,481
1772851705.423122232,45,0
1772851706.433013093,45,0
1772851707.443229193,45,0
1772851708.452744463,45,0
1772851709.464423298,45,0
1772851710.475237614,45,0
1772851711.488562142,45,0
1772851712.504135034,45,56
1772851713.519832958,45,0
1772851714.530162037,45,0
1772851715.543148132,45,0
1772851716.553659734,45,0
1772851717.578385107,45,0
