timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1772707038.272079501,cpu0,491863,4253,75789,530561,4463,0,18680,0
1772707038.272079501,cpu1,485241,4930,89600,520029,8635,0,19780,0
1772707038.272079501,cpu2,446518,4517,118552,515192,9916,0,25442,0
1772707038.272079501,cpu3,465858,4235,109150,519088,10715,0,19668,0
1772707038.272079501,cpu4,505910,4521,85300,512089,8307,0,13144,0
1772707038.272079501,cpu5,493902,4677,94865,509278,4550,0,20395,0
1772707038.272079501,cpu6,499292,4195,90587,505693,7532,0,21925,0
1772707038.272079501,cpu7,488629,4020,85631,518408,10717,0,16092,0
1772707039.292920236,cpu0,491956,4254,75797,530561,4463,0,18680,0
1772707039.292920236,cpu1,485315,4931,89627,520029,8635,0,19780,0
1772707039.292920236,cpu2,446602,4518,118569,515193,9916,0,25442,0
1772707039.292920236,cpu3,465955,4235,109155,519088,10715,0,19668,0
1772707039.292920236,cpu4,506004,4522,85307,512090,8307,0,13144,0
1772707039.292920236,cpu5,493978,4683,94885,509278,4550,0,20395,0
1772707039.292920236,cpu6,499367,4195,90613,505693,7532,0,21925,0
1772707039.292920236,cpu7,488726,4020,85636,518408,10717,0,16092,0
1772707040.309785363,cpu0,492055,4254,75800,530561,4463,0,18680,0
1772707040.309785363,cpu1,485316,4931,89728,520029,8635,0,19780,0
1772707040.309785363,cpu2,446673,4518,118601,515193,9916,0,25442,0
1772707040.309785363,cpu3,466050,4237,109160,519088,10715,0,19668,0
1772707040.309785363,cpu4,506097,4525,85312,512090,8307,0,13144,0
1772707040.309785363,cpu5,494077,4683,94889,509278,4550,0,20395,0
1772707040.309785363,cpu6,499442,4195,90640,505693,7532,0,21925,0
1772707040.309785363,cpu7,488825,4020,85638,518408,10717,0,16092,0
1772707041.328194225,cpu0,492092,4254,75852,530561,4463,0,18691,0
1772707041.328194225,cpu1,485325,4931,89821,520029,8635,0,19780,0
1772707041.328194225,cpu2,446771,4518,118604,515193,9916,0,25442,0
1772707041.328194225,cpu3,466147,4238,109164,519088,10715,0,19668,0
1772707041.328194225,cpu4,506187,4525,85322,512090,8307,0,13147,0
1772707041.328194225,cpu5,494163,4683,94902,509278,4550,0,20397,0
1772707041.328194225,cpu6,499543,4195,90640,505693,7532,0,21925,0
1772707041.328194225,cpu7,488919,4020,85646,518408,10717,0,16092,0
1772707042.340001328,cpu0,492126,4254,75906,530561,4463,0,18705,0
1772707042.340001328,cpu1,485330,4931,89917,520029,8635,0,19780,0
1772707042.340001328,cpu2,446869,4518,118606,515193,9916,0,25442,0
1772707042.340001328,cpu3,466245,4239,109166,519088,10715,0,19668,0
1772707042.340001328,cpu4,506256,4525,85348,512090,8307,0,13153,0
