timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1772866455.393987402,cpu0,510259,606,472828,419708,3057,0,219515,0
1772866455.393987402,cpu1,518563,635,475229,417522,2995,0,215025,0
1772866455.393987402,cpu2,472786,471,571037,352144,2597,0,207478,0
1772866455.393987402,cpu3,494403,471,558291,348005,2825,0,207885,0
1772866455.393987402,cpu4,534368,1128,473097,393412,2915,0,231074,0
1772866455.393987402,cpu5,534464,638,466543,409338,2888,0,218510,0
1772866455.393987402,cpu6,523571,284,473945,392203,2882,0,243060,0
1772866455.393987402,cpu7,515859,401,473181,396223,3270,0,241184,0
1772866456.407831849,cpu0,510354,606,472833,419708,3057,0,219515,0
1772866456.407831849,cpu1,518643,635,475250,417522,2995,0,215025,0
1772866456.407831849,cpu2,472862,471,571056,352146,2600,0,207478,0
1772866456.407831849,cpu3,494491,471,558304,348005,2826,0,207885,0
1772866456.407831849,cpu4,534466,1128,473099,393412,2915,0,231074,0
1772866456.407831849,cpu5,534518,638,466589,409339,2889,0,218510,0
1772866456.407831849,cpu6,523659,284,473958,392204,2882,0,243060,0
1772866456.407831849,cpu7,515950,401,473191,396223,3270,0,241184,0
1772866457.429131765,cpu0,510451,606,472839,419708,3057,0,219515,0
1772866457.429131765,cpu1,518658,635,475338,417522,2995,0,215025,0
1772866457.429131765,cpu2,472957,471,571064,352146,2600,0,207479,0
1772866457.429131765,cpu3,494575,471,558323,348005,2826,0,207885,0
1772866457.429131765,cpu4,534568,1128,473101,393412,2915,0,231074,0
1772866457.429131765,cpu5,534572,638,466638,409339,2889,0,218510,0
1772866457.429131765,cpu6,523760,284,473960,392204,2882,0,243060,0
1772866457.429131765,cpu7,516012,401,473231,396223,3270,0,241185,0
1772866458.482845321,cpu0,510542,606,472851,419708,3057,0,219517,0
1772866458.482845321,cpu1,518670,635,475431,417522,2995,0,215025,0
1772866458.482845321,cpu2,473034,471,571085,352146,2600,0,207485,0
1772866458.482845321,cpu3,494668,471,558335,348005,2826,0,207885,0
1772866458.482845321,cpu4,534656,1128,473116,393412,2915,0,231076,0
1772866458.482845321,cpu5,534671,638,466643,409339,2889,0,218510,0
1772866458.482845321,cpu6,523815,284,474003,392204,2882,0,243067,0
1772866458.482845321,cpu7,516047,401,473300,396223,3270,0,241185,0
1772866459.493215049,cpu0,510641,606,472853,419708,3057,0,219517,0
1772866459.493215049,cpu1,518766,635,475436,417522,2995,0,215025,0
1772866459.493215049,cpu2,473119,471,571101,352146,2600,0,207485,0
1772866459.493215049,cpu3,494735,471,558369,348005,2826,0,207885,0
1772866459.493215049,cpu4,534750,1128,473122,393412,2915,0,231077,0
1772866459.493215049,cpu5,534769,638,466647,409339,2889,0,218510,0
1772866459.493215049,cpu6,523817,284,474103,392204,2882,0,243067,0
1772866459.493215049,cpu7,516049,401,473380,396223,3270,0,241204,0
1772866460.506802734,cpu0,510741,606,472855,419708,3057,0,219517,0
1772866460.506802734,cpu1,518862,635,475441,417522,2995,0,215025,0
1772866460.506802734,cpu2,473183,471,571138,352146,2600,0,207485,0
1772866460.506802734,cpu3,494833,471,558373,348005,2826,0,207885,0
1772866460.506802734,cpu4,534845,1128,473129,393412,2915,0,231077,0
1772866460.506802734,cpu5,534868,638,466649,409339,2889,0,218510,0
1772866460.506802734,cpu6,523817,284,474204,392204,2882,0,243067,0
1772866460.506802734,cpu7,516052,401,473462,396223,3270,0,241221,0
1772866461.523892408,cpu0,510836,606,472861,419708,3057,0,219517,0
1772866461.523892408,cpu1,518957,635,475448,417522,2995,0,215025,0
1772866461.523892408,cpu2,473273,471,571150,352146,2600,0,207485,0
1772866461.523892408,cpu3,494928,471,558379,348005,2826,0,207885,0
1772866461.523892408,cpu4,534938,1128,473137,393412,2915,0,231077,0
1772866461.523892408,cpu5,534968,638,466651,409339,2889,0,218510,0
1772866461.523892408,cpu6,523839,284,474284,392204,2882,0,243067,0
1772866461.523892408,cpu7,516059,401,473539,396223,3270,0,241238,0
1772866462.539949464,cpu0,510932,606,472867,419708,3057,0,219517,0
1772866462.539949464,cpu1,519053,635,475453,417522,2995,0,215025,0
1772866462.539949464,cpu2,473371,471,571154,352146,2600,0,207485,0
1772866462.539949464,cpu3,495026,471,558383,348005,2826,0,207885,0
1772866462.539949464,cpu4,535034,1128,473142,393412,2915,0,231077,0
1772866462.539949464,cpu5,535067,638,466654,409339,2889,0,218510,0
1772866462.539949464,cpu6,523936,284,474288,392204,2882,0,243067,0
1772866462.539949464,cpu7,516064,401,473619,396223,3270,0,241255,0
1772866463.555497821,cpu0,511024,606,472876,419708,3057,0,219518,0
1772866463.555497821,cpu1,519145,635,475463,417522,2995,0,215026,0
1772866463.555497821,cpu2,473465,471,571161,352146,2600,0,207485,0
1772866463.555497821,cpu3,495074,471,558427,348005,2826,0,207894,0
1772866463.555497821,cpu4,535133,1128,473145,393412,2915,0,231077,0
1772866463.555497821,cpu5,535167,638,466655,409339,2889,0,218510,0
1772866463.555497821,cpu6,524035,284,474291,392204,2882,0,243067,0
1772866463.555497821,cpu7,516117,401,473659,396223,3270,0,241264,0
1772866464.573079639,cpu0,511122,606,472879,419708,3057,0,219518,0
1772866464.573079639,cpu1,519240,635,475469,417522,2995,0,215026,0
1772866464.573079639,cpu2,473560,471,571168,352146,2600,0,207485,0
1772866464.573079639,cpu3,495163,471,558438,348005,2826,0,207896,0
1772866464.573079639,cpu4,535226,1128,473152,393412,2915,0,231077,0
1772866464.573079639,cpu5,535265,638,466658,409339,2889,0,218511,0
1772866464.573079639,cpu6,524046,284,474358,392204,2882,0,243090,0
