timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1772859768.185811000,cpu0,295582,604,263115,300453,2511,0,130229,0
1772859768.185811000,cpu1,305928,633,262954,295744,2500,0,129015,0
1772859768.185811000,cpu2,271209,470,328501,255469,2207,0,121903,0
1772859768.185811000,cpu3,277303,470,325019,253564,2401,0,124377,0
1772859768.185811000,cpu4,303746,1126,266401,284606,2343,0,142045,0
1772859768.185811000,cpu5,311170,637,261508,290910,2288,0,131708,0
1772859768.185811000,cpu6,298620,281,266532,282545,2401,0,149578,0
1772859768.185811000,cpu7,295963,399,265595,284892,2598,0,145783,0
1772859769.214478713,cpu0,295674,604,263126,300453,2511,0,130229,0
1772859769.214478713,cpu1,306026,633,262960,295744,2500,0,129015,0
1772859769.214478713,cpu2,271279,470,328534,255470,2207,0,121903,0
1772859769.214478713,cpu3,277402,470,325023,253564,2401,0,124377,0
1772859769.214478713,cpu4,303796,1126,266455,284606,2343,0,142045,0
1772859769.214478713,cpu5,311266,637,261514,290910,2288,0,131708,0
1772859769.214478713,cpu6,298696,281,266559,282545,2401,0,149578,0
1772859769.214478713,cpu7,296060,399,265602,284892,2598,0,145783,0
1772859770.232622229,cpu0,295772,604,263129,300453,2511,0,130229,0
1772859770.232622229,cpu1,306124,633,262963,295744,2500,0,129015,0
1772859770.232622229,cpu2,271371,470,328543,255470,2207,0,121903,0
1772859770.232622229,cpu3,277494,470,325032,253564,2401,0,124377,0
1772859770.232622229,cpu4,303797,1126,266555,284606,2343,0,142045,0
1772859770.232622229,cpu5,311362,637,261519,290910,2288,0,131708,0
1772859770.232622229,cpu6,298775,281,266582,282545,2401,0,149578,0
1772859770.232622229,cpu7,296149,399,265613,284892,2598,0,145783,0
1772859771.257890652,cpu0,295871,604,263133,300453,2511,0,130229,0
1772859771.257890652,cpu1,306185,633,263001,295744,2500,0,129018,0
1772859771.257890652,cpu2,271465,470,328552,255470,2207,0,121904,0
1772859771.257890652,cpu3,277589,470,325040,253564,2401,0,124378,0
1772859771.257890652,cpu4,303820,1126,266634,284606,2343,0,142045,0
1772859771.257890652,cpu5,311414,637,261561,290910,2288,0,131718,0
1772859771.257890652,cpu6,298870,281,266589,282545,2401,0,149578,0
1772859771.257890652,cpu7,296250,399,265615,284892,2598,0,145783,0
1772859772.279927009,cpu0,295969,604,263136,300453,2511,0,130230,0
1772859772.279927009,cpu1,306244,633,263039,295744,2500,0,129023,0
1772859772.279927009,cpu2,271554,470,328564,255470,2207,0,121904,0
1772859772.279927009,cpu3,277638,470,325087,253565,2401,0,124383,0
1772859772.279927009,cpu4,303920,1126,266636,284606,2343,0,142045,0
1772859772.279927009,cpu5,311479,637,261596,290910,2288,0,131720,0
1772859772.279927009,cpu6,298970,281,266592,282545,2401,0,149578,0
1772859772.279927009,cpu7,296345,399,265621,284892,2598,0,145784,0
1772859773.295538029,cpu0,296065,604,263141,300453,2511,0,130230,0
1772859773.295538029,cpu1,306345,633,263040,295744,2500,0,129023,0
1772859773.295538029,cpu2,271646,470,328573,255470,2207,0,121905,0
1772859773.295538029,cpu3,277640,470,325186,253565,2401,0,124384,0
1772859773.295538029,cpu4,304019,1126,266639,284606,2343,0,142045,0
1772859773.295538029,cpu5,311576,637,261600,290910,2288,0,131720,0
1772859773.295538029,cpu6,299069,281,266594,282545,2401,0,149578,0
1772859773.295538029,cpu7,296378,399,265676,284892,2598,0,145797,0
1772859774.309011152,cpu0,296159,604,263148,300453,2511,0,130231,0
1772859774.309011152,cpu1,306426,633,263059,295744,2500,0,129025,0
1772859774.309011152,cpu2,271741,470,328579,255470,2207,0,121905,0
1772859774.309011152,cpu3,277698,470,325229,253565,2401,0,124384,0
1772859774.309011152,cpu4,304115,1126,266645,284606,2343,0,142046,0
1772859774.309011152,cpu5,311676,637,261602,290910,2288,0,131720,0
1772859774.309011152,cpu6,299166,281,266598,282545,2401,0,149578,0
1772859774.309011152,cpu7,296399,399,265741,284893,2598,0,145812,0
1772859775.321015709,cpu0,296257,604,263152,300453,2511,0,130231,0
1772859775.321015709,cpu1,306525,633,263061,295744,2500,0,129025,0
1772859775.321015709,cpu2,271836,470,328585,255470,2207,0,121905,0
1772859775.321015709,cpu3,277749,470,325271,253565,2401,0,124392,0
1772859775.321015709,cpu4,304211,1126,266650,284606,2343,0,142046,0
1772859775.321015709,cpu5,311767,637,261612,290910,2288,0,131720,0
1772859775.321015709,cpu6,299261,281,266604,282545,2401,0,149578,0
1772859775.321015709,cpu7,296447,399,265784,284893,2598,0,145822,0
1772859776.334826008,cpu0,296354,604,263156,300453,2511,0,130231,0
1772859776.334826008,cpu1,306622,633,263066,295744,2500,0,129025,0
1772859776.334826008,cpu2,271932,470,328590,255470,2207,0,121905,0
1772859776.334826008,cpu3,277819,470,325296,253565,2401,0,124398,0
1772859776.334826008,cpu4,304309,1126,266653,284606,2343,0,142046,0
1772859776.334826008,cpu5,311861,637,261619,290910,2288,0,131720,0
1772859776.334826008,cpu6,299358,281,266609,282545,2401,0,149578,0
1772859776.334826008,cpu7,296479,399,265836,284893,2598,0,145839,0
1772859777.347894992,cpu0,296453,604,263158,300453,2511,0,130231,0
1772859777.347894992,cpu1,306719,633,263070,295744,2500,0,129025,0
1772859777.347894992,cpu2,272029,470,328594,255470,2207,0,121906,0
1772859777.347894992,cpu3,277843,470,325357,253565,2401,0,124414,0
1772859777.347894992,cpu4,304404,1126,266659,284606,2343,0,142046,0
1772859777.347894992,cpu5,311958,637,261623,290910,2288,0,131720,0
1772859777.347894992,cpu6,299455,281,266612,282545,2401,0,149578,0
1772859777.347894992,cpu7,296563,399,265850,284893,2598,0,145842,0
1772859778.366755593,cpu0,296549,604,263164,300453,2511,0,130231,0
1772859778.366755593,cpu1,306818,633,263073,295744,2500,0,129025,0
1772859778.366755593,cpu2,272127,470,328598,255470,2207,0,121906,0
1772859778.366755593,cpu3,277858,470,325426,253565,2401,0,124432,0
1772859778.366755593,cpu4,304504,1126,266661,284606,2343,0,142046,0
1772859778.366755593,cpu5,312055,637,261628,290910,2288,0,131720,0
1772859778.366755593,cpu6,299552,281,266617,282545,2401,0,149578,0
1772859778.366755593,cpu7,296663,399,265852,284893,2598,0,145842,0
1772859779.413924325,cpu0,296647,604,263170,300453,2511,0,130231,0
1772859779.413924325,cpu1,306918,633,263077,295744,2500,0,129025,0
1772859779.413924325,cpu2,272227,470,328603,255470,2207,0,121906,0
1772859779.413924325,cpu3,277864,470,325506,253565,2401,0,124452,0
1772859779.413924325,cpu4,304607,1126,266663,284606,2343,0,142046,0
1772859779.413924325,cpu5,312155,637,261632,290910,2288,0,131721,0
1772859779.413924325,cpu6,299652,281,266622,282545,2401,0,149578,0
1772859779.413924325,cpu7,296763,399,265857,284893,2598,0,145843,0
1772859780.425055143,cpu0,296733,604,263181,300453,2511,0,130235,0
1772859780.425055143,cpu1,307016,633,263080,295744,2500,0,129025,0
1772859780.425055143,cpu2,272325,470,328606,255470,2207,0,121906,0
1772859780.425055143,cpu3,277890,470,325564,253565,2401,0,124469,0
1772859780.425055143,cpu4,304703,1126,266668,284606,2343,0,142046,0
1772859780.425055143,cpu5,312252,637,261637,290910,2288,0,131721,0
1772859780.425055143,cpu6,299748,281,266627,282545,2401,0,149579,0
1772859780.425055143,cpu7,296854,399,265865,284893,2598,0,145845,0
