timestamp,tcp_inuse,tcp_mem_pages
1772704859.138459289,39,0
1772704860.182677362,39,0
1772704861.222508580,39,787
1772704862.237901419,39,635
1772704863.260224181,39,2195
1772704864.280778916,39,0
1772704865.306563401,39,207
1772704866.325793558,39,764
1772704867.340226123,39,670
1772704868.361942048,39,223
1772704869.380641315,39,414
1772704870.399884308,39,83
1772704871.421968590,39,206
1772704872.440758052,39,158
1772704873.456997684,39,125
1772704874.475750349,39,204
1772704875.496587291,39,0
1772704876.525489782,39,1531
1772704877.542973768,39,0
1772704878.565663600,39,257
1772704879.579458841,39,64
1772704880.597859256,39,749
1772704881.616834094,39,0
1772704882.639523575,39,1845
1772704883.657896478,39,0
1772704884.675794609,39,67
1772704885.702540093,41,791
1772704886.722917928,38,1926
1772704887.739536946,38,267
1772704888.760887517,38,647
1772704889.779830418,39,261
1772704890.798851307,39,0
1772704891.819908744,39,0
1772704892.831928654,39,0
1772704893.851975306,39,0
1772704894.875951169,39,0
1772704895.895912574,39,478
1772704896.918917496,39,1466
1772704897.934329276,39,0
1772704898.955842604,39,0
1772704899.979897516,39,0
1772704901.003967808,39,521
1772704902.024200406,39,0
1772704903.044421084,38,0
1772704904.061840730,38,0
1772704905.078894559,38,0
1772704906.098926339,38,0
1772704907.121540290,38,0
1772704908.136521961,38,103
1772704909.160669448,38,0
1772704910.186594279,38,0
1772704911.207949873,38,163
1772704912.227966823,37,1302
1772704913.247889699,37,0
1772704914.271512263,38,751
1772704915.291434207,38,246
1772704916.314202481,38,1361
1772704917.337613858,38,0
1772704918.353915100,39,0
1772704919.373956984,39,1035
1772704920.396561753,38,448
1772704921.419467598,38,0
1772704922.438493012,38,416
1772704923.459345123,38,0
1772704924.480867092,38,0
1772704925.504367316,38,0
1772704926.521840842,38,0
1772704927.545513613,38,0
1772704928.563949780,38,37
1772704929.583442510,38,25
1772704930.595839392,38,677
1772704931.615786875,38,0
1772704932.626802324,38,0
1772704933.636309655,38,0
1772704934.648602367,38,0
