timestamp,cpu_idx,processed,dropped,time_squeeze
1772706116.662388557,0,0x02bd2726,0x00000000,0x0000003e
1772706116.662388557,1,0x03783d04,0x00000000,0x00000000
1772706116.662388557,2,0x0452615b,0x00000000,0x00000000
1772706116.662388557,3,0x0391acc2,0x00000000,0x00000000
1772706116.662388557,4,0x028059f1,0x00000000,0x00000000
1772706116.662388557,5,0x03691ff3,0x00000000,0x00000000
1772706116.662388557,6,0x047b3a3d,0x00000000,0x00000000
1772706116.662388557,7,0x032fa1ef,0x00000000,0x00000000
1772706117.904925847,0,0x02bd2828,0x00000000,0x0000003e
1772706117.904925847,1,0x03783d0a,0x00000000,0x00000000
1772706117.904925847,2,0x0452615b,0x00000000,0x00000000
1772706117.904925847,3,0x0391acc2,0x00000000,0x00000000
1772706117.904925847,4,0x028059f1,0x00000000,0x00000000
1772706117.904925847,5,0x03692004,0x00000000,0x00000000
1772706117.904925847,6,0x047b3a3d,0x00000000,0x00000000
1772706117.904925847,7,0x032fa1ef,0x00000000,0x00000000
1772706119.108795335,0,0x02bd8bbc,0x00000000,0x0000003e
1772706119.108795335,1,0x03783d13,0x00000000,0x00000000
1772706119.108795335,2,0x0452615b,0x00000000,0x00000000
1772706119.108795335,3,0x0391acc2,0x00000000,0x00000000
1772706119.108795335,4,0x0280e0f7,0x00000000,0x00000000
1772706119.108795335,5,0x0369200a,0x00000000,0x00000000
1772706119.108795335,6,0x047b3a48,0x00000000,0x00000000
1772706119.108795335,7,0x032fa1fb,0x00000000,0x00000000
1772706120.723785168,0,0x02be0642,0x00000000,0x0000003e
1772706120.723785168,1,0x03792178,0x00000000,0x00000000
1772706120.723785168,2,0x0452615b,0x00000000,0x00000000
1772706120.723785168,3,0x0391acc2,0x00000000,0x00000000
1772706120.723785168,4,0x0281507a,0x00000000,0x00000000
1772706120.723785168,5,0x036951ca,0x00000000,0x00000000
1772706120.723785168,6,0x047b3a53,0x00000000,0x00000000
1772706120.723785168,7,0x032fa1fb,0x00000000,0x00000000
1772706121.955050418,0,0x02be5105,0x00000000,0x0000003e
1772706121.955050418,1,0x0379257b,0x00000000,0x00000000
1772706121.955050418,2,0x0452615b,0x00000000,0x00000000
1772706121.955050418,3,0x0391acc2,0x00000000,0x00000000
1772706121.955050418,4,0x0281507a,0x00000000,0x00000000
1772706121.955050418,5,0x036a1a1c,0x00000000,0x00000000
1772706121.955050418,6,0x047b3a53,0x00000000,0x00000000
1772706121.955050418,7,0x032fa1fb,0x00000000,0x00000000
1772706123.105833347,0,0x02be51f9,0x00000000,0x0000003e
1772706123.105833347,1,0x03799513,0x00000000,0x00000000
1772706123.105833347,2,0x0452615b,0x00000000,0x00000000
1772706123.105833347,3,0x0391accd,0x00000000,0x00000000
1772706123.105833347,4,0x0281507a,0x00000000,0x00000000
1772706123.105833347,5,0x036af89d,0x00000000,0x00000000
1772706123.105833347,6,0x047b3a53,0x00000000,0x00000000
1772706123.105833347,7,0x032fa1fb,0x00000000,0x00000000
1772706124.285823573,0,0x02be55f2,0x00000000,0x0000003e
1772706124.285823573,1,0x037a89a7,0x00000000,0x00000000
1772706124.285823573,2,0x0452a54e,0x00000000,0x00000000
1772706124.285823573,3,0x039276c3,0x00000000,0x00000000
1772706124.285823573,4,0x0281507a,0x00000000,0x00000000
1772706124.285823573,5,0x036ba99d,0x00000000,0x00000000
1772706124.285823573,6,0x047b3a62,0x00000000,0x00000000
1772706124.285823573,7,0x033043b4,0x00000000,0x00000000
1772706125.497817581,0,0x02be7dde,0x00000000,0x0000003e
1772706125.497817581,1,0x037abdfb,0x00000000,0x00000000
1772706125.497817581,2,0x0452e9a2,0x00000000,0x00000000
1772706125.497817581,3,0x03931e48,0x00000000,0x00000000
1772706125.497817581,4,0x02817760,0x00000000,0x00000000
1772706125.497817581,5,0x036ba9a1,0x00000000,0x00000000
1772706125.497817581,6,0x047b3a62,0x00000000,0x00000000
1772706125.497817581,7,0x03313bf2,0x00000000,0x00000000
1772706126.648845747,0,0x02be7ec8,0x00000000,0x0000003e
1772706126.648845747,1,0x037abe08,0x00000000,0x00000000
1772706126.648845747,2,0x0453038e,0x00000000,0x00000000
1772706126.648845747,3,0x0394816c,0x00000000,0x00000000
1772706126.648845747,4,0x0281800f,0x00000000,0x00000000
1772706126.648845747,5,0x036ba9a5,0x00000000,0x00000000
1772706126.648845747,6,0x047b3a64,0x00000000,0x00000000
1772706126.648845747,7,0x0331eb99,0x00000000,0x00000000
1772706127.824341665,0,0x02be7fbc,0x00000000,0x0000003e
1772706127.824341665,1,0x037abe0e,0x00000000,0x00000000
1772706127.824341665,2,0x045376ae,0x00000000,0x00000000
1772706127.824341665,3,0x03957ac8,0x00000000,0x00000000
1772706127.824341665,4,0x0281800f,0x00000000,0x00000000
1772706127.824341665,5,0x036ba9a5,0x00000000,0x00000000
1772706127.824341665,6,0x047b3a64,0x00000000,0x00000000
1772706127.824341665,7,0x0332a0c4,0x00000000,0x00000000
1772706129.059641836,0,0x02bec688,0x00000000,0x0000003e
1772706129.059641836,1,0x037abe0e,0x00000000,0x00000000
1772706129.059641836,2,0x0453aa58,0x00000000,0x00000000
1772706129.059641836,3,0x03963e49,0x00000000,0x00000000
1772706129.059641836,4,0x0281d0e4,0x00000000,0x00000000
1772706129.059641836,5,0x036ba9a5,0x00000000,0x00000000
1772706129.059641836,6,0x047b3a6a,0x00000000,0x00000000
1772706129.059641836,7,0x033377cb,0x00000000,0x00000000
1772706130.252732644,0,0x02bec786,0x00000000,0x0000003e
1772706130.252732644,1,0x037abe0e,0x00000000,0x00000000
1772706130.252732644,2,0x0455b757,0x00000000,0x00000000
1772706130.252732644,3,0x039751b5,0x00000000,0x00000000
1772706130.252732644,4,0x0281d0e4,0x00000000,0x00000000
1772706130.252732644,5,0x036ba9b3,0x00000000,0x00000000
1772706130.252732644,6,0x047b3a6c,0x00000000,0x00000000
1772706130.252732644,7,0x033377cb,0x00000000,0x00000000
1772706131.422887465,0,0x02bec86e,0x00000000,0x0000003e
1772706131.422887465,1,0x037abe19,0x00000000,0x00000000
1772706131.422887465,2,0x0455b757,0x00000000,0x00000000
1772706131.422887465,3,0x03999d40,0x00000000,0x00000000
1772706131.422887465,4,0x0281d0e4,0x00000000,0x00000000
1772706131.422887465,5,0x036ba9ba,0x00000000,0x00000000
1772706131.422887465,6,0x047b3a6c,0x00000000,0x00000000
1772706131.422887465,7,0x0334672d,0x00000000,0x00000000
1772706132.582300286,0,0x02bec960,0x00000000,0x0000003e
1772706132.582300286,1,0x037abe1d,0x00000000,0x00000000
1772706132.582300286,2,0x0455b757,0x00000000,0x00000000
1772706132.582300286,3,0x039bd484,0x00000000,0x00000000
1772706132.582300286,4,0x0281d0e4,0x00000000,0x00000000
1772706132.582300286,5,0x036ba9c0,0x00000000,0x00000000
1772706132.582300286,6,0x047b3a76,0x00000000,0x00000000
1772706132.582300286,7,0x0334f60c,0x00000000,0x00000000
1772706133.768909162,0,0x02beca5f,0x00000000,0x0000003e
1772706133.768909162,1,0x037af5e9,0x00000000,0x00000000
1772706133.768909162,2,0x0455b761,0x00000000,0x00000000
1772706133.768909162,3,0x039ce139,0x00000000,0x00000000
1772706133.768909162,4,0x0281d0e4,0x00000000,0x00000000
1772706133.768909162,5,0x036ba9c0,0x00000000,0x00000000
1772706133.768909162,6,0x047b3a7a,0x00000000,0x00000000
1772706133.768909162,7,0x0335ce3c,0x00000000,0x00000000
1772706134.945412107,0,0x02becb1f,0x00000000,0x0000003e
1772706134.945412107,1,0x037bd03e,0x00000000,0x00000000
1772706134.945412107,2,0x0455ebeb,0x00000000,0x00000000
1772706134.945412107,3,0x039d070b,0x00000000,0x00000000
1772706134.945412107,4,0x0281d0e6,0x00000000,0x00000000
1772706134.945412107,5,0x036c42e8,0x00000000,0x00000000
1772706134.945412107,6,0x047b3a7a,0x00000000,0x00000000
1772706134.945412107,7,0x03368a76,0x00000000,0x00000000
1772706136.129819551,0,0x02becb32,0x00000000,0x0000003e
1772706136.129819551,1,0x037bd03e,0x00000000,0x00000000
1772706136.129819551,2,0x045848cd,0x00000000,0x00000000
1772706136.129819551,3,0x039d0713,0x00000000,0x00000000
1772706136.129819551,4,0x0281d0e6,0x00000000,0x00000000
1772706136.129819551,5,0x036c42e8,0x00000000,0x00000000
1772706136.129819551,6,0x047bd557,0x00000000,0x00000000
1772706136.129819551,7,0x0336bae6,0x00000000,0x00000000
1772706137.326368870,0,0x02bf6ded,0x00000000,0x0000003e
1772706137.326368870,1,0x037bd03e,0x00000000,0x00000000
1772706137.326368870,2,0x04588b68,0x00000000,0x00000000
1772706137.326368870,3,0x039d071e,0x00000000,0x00000000
1772706137.326368870,4,0x02824251,0x00000000,0x00000000
1772706137.326368870,5,0x036c42ec,0x00000000,0x00000000
1772706137.326368870,6,0x047c9bd6,0x00000000,0x00000000
1772706137.326368870,7,0x0336bae6,0x00000000,0x00000000
1772706138.491449504,0,0x02c0717f,0x00000000,0x0000003e
1772706138.491449504,1,0x037bd03e,0x00000000,0x00000000
1772706138.491449504,2,0x04588b68,0x00000000,0x00000000
1772706138.491449504,3,0x039d072d,0x00000000,0x00000000
1772706138.491449504,4,0x0282b459,0x00000000,0x00000000
1772706138.491449504,5,0x036c42ef,0x00000000,0x00000000
1772706138.491449504,6,0x047c9bd6,0x00000000,0x00000000
1772706138.491449504,7,0x0336bae8,0x00000000,0x00000000
1772706139.663429956,0,0x02c088c0,0x00000000,0x0000003e
1772706139.663429956,1,0x037c6030,0x00000000,0x00000000
1772706139.663429956,2,0x04588b68,0x00000000,0x00000000
1772706139.663429956,3,0x039d073a,0x00000000,0x00000000
1772706139.663429956,4,0x0282f215,0x00000000,0x00000000
1772706139.663429956,5,0x036dfb9a,0x00000000,0x00000000
1772706139.663429956,6,0x047c9bd6,0x00000000,0x00000000
1772706139.663429956,7,0x0336bae8,0x00000000,0x00000000
1772706140.836385280,0,0x02c088c7,0x00000000,0x0000003e
1772706140.836385280,1,0x037d3981,0x00000000,0x00000000
1772706140.836385280,2,0x0458e10a,0x00000000,0x00000000
1772706140.836385280,3,0x039d073a,0x00000000,0x00000000
1772706140.836385280,4,0x0282f224,0x00000000,0x00000000
1772706140.836385280,5,0x036f9098,0x00000000,0x00000000
1772706140.836385280,6,0x047c9bd6,0x00000000,0x00000000
1772706140.836385280,7,0x0336bae8,0x00000000,0x00000000
1772706142.011586254,0,0x02c088d6,0x00000000,0x0000003e
1772706142.011586254,1,0x037d3981,0x00000000,0x00000000
1772706142.011586254,2,0x0459743a,0x00000000,0x00000000
1772706142.011586254,3,0x039d073a,0x00000000,0x00000000
1772706142.011586254,4,0x0282f224,0x00000000,0x00000000
1772706142.011586254,5,0x036f9098,0x00000000,0x00000000
1772706142.011586254,6,0x047ea1a1,0x00000000,0x00000000
1772706142.011586254,7,0x0336bae8,0x00000000,0x00000000
1772706143.177097216,0,0x02c08a10,0x00000000,0x0000003e
1772706143.177097216,1,0x037d3981,0x00000000,0x00000000
1772706143.177097216,2,0x045ad511,0x00000000,0x00000000
1772706143.177097216,3,0x039d073f,0x00000000,0x00000000
1772706143.177097216,4,0x0282f224,0x00000000,0x00000000
1772706143.177097216,5,0x036f9098,0x00000000,0x00000000
1772706143.177097216,6,0x047ea1a1,0x00000000,0x00000000
1772706143.177097216,7,0x0336bae8,0x00000000,0x00000000
1772706144.372802438,0,0x02c08c0a,0x00000000,0x0000003e
1772706144.372802438,1,0x037d3981,0x00000000,0x00000000
1772706144.372802438,2,0x045cd7ca,0x00000000,0x00000000
1772706144.372802438,3,0x039d074c,0x00000000,0x00000000
1772706144.372802438,4,0x0282f224,0x00000000,0x00000000
1772706144.372802438,5,0x036f909a,0x00000000,0x00000000
1772706144.372802438,6,0x047ecf67,0x00000000,0x00000000
