timestamp,tcp_inuse,tcp_mem_pages
1772863903.500671277,44,0
1772863904.524285879,44,0
1772863905.531493069,44,67
1772863906.543501633,44,120
1772863907.556612410,44,1115
1772863908.579335284,44,643
1772863909.587588715,44,463
1772863910.595304602,44,413
1772863911.603804762,44,335
1772863912.610404555,44,574
1772863913.617674511,44,933
1772863914.624873785,44,1083
1772863915.631873294,44,63
1772863916.639941331,44,294
1772863917.656693113,44,20
1772863918.669881902,44,0
1772863919.686807980,44,0
1772863920.709525659,44,0
1772863921.722508769,44,0
1772863922.735150358,44,175
1772863923.757529582,44,647
1772863924.786646266,44,457
1772863925.805906346,44,415
1772863926.824916554,44,1364
1772863927.850558791,44,513
1772863928.877722505,44,912
1772863929.898367766,44,726
1772863930.910974274,44,328
1772863931.921391675,44,904
1772863932.936023262,44,843
1772863933.951419410,44,0
1772863934.967671742,44,2204
1772863935.999529030,44,160
1772863937.021425865,44,170
1772863938.032072609,44,248
1772863939.053318324,44,720
1772863940.076640068,44,130
1772863941.091783922,44,0
1772863942.108674609,44,1537
1772863943.136335442,44,2128
1772863944.152340784,44,616
1772863945.181845148,44,2924
1772863946.209767569,44,1668
1772863947.234909218,44,1517
1772863948.265106861,44,87
1772863949.289238738,44,2118
1772863950.314493420,44,934
1772863951.337707193,44,0
1772863952.374691860,44,799
1772863953.392846296,44,1138
1772863954.407956176,44,788
1772863955.424884712,44,901
1772863956.451087719,44,1458
1772863957.478145830,44,1519
1772863958.501578092,44,1874
1772863959.525513400,44,0
1772863960.544520321,44,294
1772863961.561555696,44,1210
1772863962.591085598,44,15
1772863963.618897261,44,0
1772863964.638939052,47,653
1772863965.655915418,46,3224
1772863966.669037396,47,408
1772863967.694730373,47,572
1772863968.712047235,47,1234
1772863969.732357565,47,2330
1772863970.752584126,47,102
1772863971.776378941,49,3278
1772863972.798720566,49,596
1772863973.828950789,49,3048
1772863974.846819900,48,3132
1772863975.866786768,48,129
1772863976.884453398,48,2346
1772863977.908830048,48,638
1772863978.923926260,48,2645
