timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1772704775.285257728,cpu0,348251,3612,57824,473316,4395,0,12826,0
1772704775.285257728,cpu1,347110,4043,65332,466432,8571,0,10976,0
1772704775.285257728,cpu2,327528,3616,81112,459725,9846,0,12796,0
1772704775.285257728,cpu3,338683,3334,75482,462822,10654,0,11969,0
1772704775.285257728,cpu4,353684,3550,58512,471287,8265,0,8016,0
1772704775.285257728,cpu5,354389,3890,65426,463121,4505,0,10433,0
1772704775.285257728,cpu6,354729,3358,66988,460037,7482,0,10698,0
1772704775.285257728,cpu7,349812,3199,59819,464837,10660,0,9569,0
1772704776.324327068,cpu0,348313,3612,57864,473316,4395,0,12826,0
1772704776.324327068,cpu1,347202,4043,65344,466432,8571,0,10976,0
1772704776.324327068,cpu2,327624,3616,81120,459725,9846,0,12796,0
1772704776.324327068,cpu3,338762,3334,75508,462822,10654,0,11969,0
1772704776.324327068,cpu4,353762,3550,58537,471287,8265,0,8016,0
1772704776.324327068,cpu5,354482,3893,65434,463121,4505,0,10433,0
1772704776.324327068,cpu6,354829,3359,66992,460037,7482,0,10698,0
1772704776.324327068,cpu7,349904,3199,59831,464837,10660,0,9569,0
1772704777.355989654,cpu0,348315,3612,57965,473316,4395,0,12827,0
1772704777.355989654,cpu1,347299,4044,65349,466432,8571,0,10976,0
1772704777.355989654,cpu2,327726,3616,81121,459725,9846,0,12796,0
1772704777.355989654,cpu3,338860,3334,75512,462822,10654,0,11970,0
1772704777.355989654,cpu4,353863,3550,58539,471287,8265,0,8016,0
1772704777.355989654,cpu5,354579,3894,65439,463121,4505,0,10433,0
1772704777.355989654,cpu6,354930,3359,66993,460037,7482,0,10698,0
1772704777.355989654,cpu7,349962,3199,59874,464837,10660,0,9570,0
1772704778.374655581,cpu0,348316,3612,58066,473316,4395,0,12827,0
1772704778.374655581,cpu1,347392,4044,65357,466432,8571,0,10976,0
1772704778.374655581,cpu2,327827,3616,81121,459725,9846,0,12796,0
1772704778.374655581,cpu3,338961,3334,75513,462822,10654,0,11970,0
1772704778.374655581,cpu4,353965,3550,58540,471287,8265,0,8016,0
1772704778.374655581,cpu5,354667,3895,65451,463121,4505,0,10433,0
1772704778.374655581,cpu6,355032,3359,66993,460037,7482,0,10698,0
1772704778.374655581,cpu7,349980,3199,59944,464837,10660,0,9584,0
1772704779.391107643,cpu0,348318,3612,58164,473316,4395,0,12828,0
1772704779.391107643,cpu1,347490,4045,65360,466432,8571,0,10976,0
1772704779.391107643,cpu2,327928,3616,81123,459725,9846,0,12796,0
1772704779.391107643,cpu3,339054,3334,75519,462822,10654,0,11972,0
1772704779.391107643,cpu4,354063,3550,58542,471287,8265,0,8016,0
1772704779.391107643,cpu5,354761,3895,65459,463121,4505,0,10433,0
1772704779.391107643,cpu6,355132,3359,66994,460037,7482,0,10698,0
1772704779.391107643,cpu7,350001,3199,60012,464837,10660,0,9597,0
1772704780.412819338,cpu0,348329,3612,58255,473316,4395,0,12828,0
1772704780.412819338,cpu1,347589,4045,65363,466432,8571,0,10976,0
1772704780.412819338,cpu2,328023,3616,81129,459725,9846,0,12797,0
1772704780.412819338,cpu3,339129,3334,75535,462822,10654,0,11983,0
1772704780.412819338,cpu4,354157,3552,58549,471287,8265,0,8016,0
1772704780.412819338,cpu5,354848,3895,65472,463121,4505,0,10434,0
1772704780.412819338,cpu6,355234,3359,66994,460037,7482,0,10698,0
1772704780.412819338,cpu7,350070,3199,60036,464837,10660,0,9605,0
1772704781.423795719,cpu0,348420,3612,58265,473316,4395,0,12828,0
1772704781.423795719,cpu1,347686,4045,65367,466432,8571,0,10976,0
1772704781.423795719,cpu2,328107,3616,81142,459725,9846,0,12801,0
1772704781.423795719,cpu3,339211,3334,75548,462822,10654,0,11989,0
1772704781.423795719,cpu4,354256,3553,58550,471287,8265,0,8016,0
1772704781.423795719,cpu5,354947,3895,65475,463121,4505,0,10434,0
1772704781.423795719,cpu6,355321,3359,67003,460037,7482,0,10703,0
1772704781.423795719,cpu7,350143,3199,60061,464837,10660,0,9609,0
1772704782.438934318,cpu0,348520,3612,58266,473316,4395,0,12829,0
1772704782.438934318,cpu1,347785,4046,65369,466432,8571,0,10976,0
1772704782.438934318,cpu2,328187,3616,81158,459725,9846,0,12805,0
1772704782.438934318,cpu3,339304,3334,75552,462822,10654,0,11992,0
1772704782.438934318,cpu4,354356,3553,58552,471287,8265,0,8016,0
1772704782.438934318,cpu5,355047,3895,65477,463121,4505,0,10434,0
1772704782.438934318,cpu6,355368,3359,67045,460037,7482,0,10715,0
1772704782.438934318,cpu7,350242,3199,60063,464837,10660,0,9609,0
1772704783.451841757,cpu0,348620,3612,58267,473316,4395,0,12829,0
1772704783.451841757,cpu1,347876,4046,65374,466432,8571,0,10982,0
1772704783.451841757,cpu2,328259,3616,81184,459725,9846,0,12809,0
1772704783.451841757,cpu3,339382,3334,75566,462822,10654,0,12003,0
1772704783.451841757,cpu4,354454,3553,58555,471287,8265,0,8016,0
1772704783.451841757,cpu5,355144,3895,65481,463121,4505,0,10434,0
1772704783.451841757,cpu6,355450,3359,67062,460037,7482,0,10717,0
1772704783.451841757,cpu7,350339,3200,60066,464837,10660,0,9609,0
1772704784.468846170,cpu0,348719,3612,58269,473316,4395,0,12830,0
1772704784.468846170,cpu1,347973,4046,65377,466432,8571,0,10983,0
1772704784.468846170,cpu2,328347,3616,81196,459725,9846,0,12811,0
1772704784.468846170,cpu3,339456,3334,75579,462822,10654,0,12017,0
1772704784.468846170,cpu4,354553,3554,58556,471287,8265,0,8016,0
1772704784.468846170,cpu5,355239,3895,65485,463121,4505,0,10436,0
1772704784.468846170,cpu6,355517,3359,67094,460037,7482,0,10720,0
1772704784.468846170,cpu7,350438,3200,60069,464837,10660,0,9609,0
1772704785.478857546,cpu0,348818,3612,58271,473316,4395,0,12830,0
1772704785.478857546,cpu1,348071,4046,65380,466432,8571,0,10984,0
1772704785.478857546,cpu2,328425,3616,81215,459725,9846,0,12814,0
1772704785.478857546,cpu3,339554,3334,75582,462822,10654,0,12017,0
1772704785.478857546,cpu4,354650,3554,58561,471287,8265,0,8016,0
1772704785.478857546,cpu5,355330,3897,65491,463121,4505,0,10439,0
1772704785.478857546,cpu6,355576,3359,67126,460037,7482,0,10730,0
1772704785.478857546,cpu7,350539,3200,60069,464837,10660,0,9609,0
1772704786.491151950,cpu0,348906,3612,58278,473316,4395,0,12835,0
1772704786.491151950,cpu1,348166,4046,65384,466432,8571,0,10986,0
1772704786.491151950,cpu2,328495,3616,81242,459725,9846,0,12819,0
1772704786.491151950,cpu3,339656,3334,75582,462822,10654,0,12017,0
1772704786.491151950,cpu4,354748,3554,58563,471287,8265,0,8017,0
1772704786.491151950,cpu5,355413,3897,65501,463121,4505,0,10447,0
1772704786.491151950,cpu6,355661,3359,67140,460037,7482,0,10733,0
1772704786.491151950,cpu7,350636,3201,60072,464837,10660,0,9610,0
1772704787.505778242,cpu0,349005,3612,58281,473316,4395,0,12836,0
1772704787.505778242,cpu1,348247,4046,65397,466432,8571,0,10992,0
1772704787.505778242,cpu2,328586,3616,81251,459725,9846,0,12820,0
1772704787.505778242,cpu3,339739,3334,75598,462822,10654,0,12018,0
1772704787.505778242,cpu4,354849,3554,58564,471287,8265,0,8017,0
1772704787.505778242,cpu5,355506,3897,65506,463121,4505,0,10450,0
1772704787.505778242,cpu6,355736,3359,67161,460037,7482,0,10739,0
1772704787.505778242,cpu7,350735,3201,60074,464837,10660,0,9610,0
1772704788.519718123,cpu0,349105,3612,58281,473316,4395,0,12836,0
1772704788.519718123,cpu1,348347,4046,65399,466432,8571,0,10992,0
1772704788.519718123,cpu2,328664,3616,81267,459725,9846,0,12827,0
1772704788.519718123,cpu3,339795,3334,75641,462822,10654,0,12021,0
1772704788.519718123,cpu4,354949,3554,58565,471287,8265,0,8017,0
1772704788.519718123,cpu5,355606,3897,65508,463121,4505,0,10450,0
1772704788.519718123,cpu6,355825,3359,67169,460037,7482,0,10742,0
1772704788.519718123,cpu7,350835,3201,60075,464837,10660,0,9610,0
1772704789.538616245,cpu0,349205,3612,58283,473316,4395,0,12837,0
1772704789.538616245,cpu1,348437,4046,65407,466432,8571,0,10996,0
1772704789.538616245,cpu2,328757,3616,81273,459725,9846,0,12830,0
1772704789.538616245,cpu3,339851,3334,75682,462822,10654,0,12026,0
1772704789.538616245,cpu4,355049,3554,58567,471287,8265,0,8017,0
1772704789.538616245,cpu5,355707,3898,65508,463121,4505,0,10450,0
1772704789.538616245,cpu6,355920,3359,67174,460037,7482,0,10745,0
1772704789.538616245,cpu7,350929,3201,60080,464837,10660,0,9613,0
1772704790.553806961,cpu0,349302,3613,58286,473316,4395,0,12837,0
1772704790.553806961,cpu1,348527,4046,65415,466432,8571,0,11000,0
1772704790.553806961,cpu2,328851,3617,81278,459725,9846,0,12833,0
1772704790.553806961,cpu3,339906,3334,75723,462822,10654,0,12031,0
1772704790.553806961,cpu4,355149,3554,58568,471287,8265,0,8017,0
1772704790.553806961,cpu5,355806,3898,65511,463121,4505,0,10450,0
1772704790.553806961,cpu6,356003,3360,67186,460037,7482,0,10751,0
1772704790.553806961,cpu7,351028,3202,60082,464837,10660,0,9613,0
1772704791.569864571,cpu0,349391,3618,58292,473317,4395,0,12839,0
1772704791.569864571,cpu1,348626,4046,65417,466432,8571,0,11000,0
1772704791.569864571,cpu2,328952,3617,81278,459725,9846,0,12833,0
1772704791.569864571,cpu3,339962,3335,75764,462822,10654,0,12036,0
1772704791.569864571,cpu4,355248,3554,58571,471287,8265,0,8017,0
1772704791.569864571,cpu5,355905,3898,65513,463121,4505,0,10450,0
1772704791.569864571,cpu6,356074,3360,67205,460037,7482,0,10762,0
1772704791.569864571,cpu7,351125,3203,60085,464837,10660,0,9613,0
1772704792.590599840,cpu0,349481,3618,58299,473317,4395,0,12844,0
1772704792.590599840,cpu1,348726,4047,65418,466432,8571,0,11000,0
1772704792.590599840,cpu2,329052,3617,81280,459725,9846,0,12833,0
1772704792.590599840,cpu3,340016,3335,75806,462822,10654,0,12041,0
