timestamp,tcp_inuse,tcp_mem_pages
1772704775.299870482,40,0
1772704776.353778411,40,0
1772704777.380008476,40,0
1772704778.475598919,40,1064
1772704779.496922299,40,1312
1772704780.531850824,40,205
1772704781.551315714,40,908
1772704782.574993569,40,850
1772704783.593742825,40,1085
1772704784.611793247,40,0
1772704785.636706057,40,0
1772704786.648106868,40,801
1772704787.673543802,40,387
1772704788.692417631,40,235
1772704789.710283018,40,0
1772704790.732323769,40,94
1772704791.753583648,39,384
1772704792.770928550,39,343
1772704793.789008682,39,0
1772704794.807887592,39,897
1772704795.820858244,39,0
1772704796.841019007,39,0
1772704797.868428691,39,0
1772704798.883931844,40,0
1772704799.902975062,40,0
1772704800.923862946,40,0
1772704801.941865519,40,0
1772704802.966479150,40,0
1772704803.984532691,40,0
1772704805.016933841,40,790
1772704806.034890006,40,0
1772704807.060470394,40,0
1772704808.077743549,40,1307
1772704809.100874161,40,273
1772704810.129360699,40,219
1772704811.156912557,40,0
1772704812.180342373,40,1756
1772704813.196891488,40,0
1772704814.214915155,40,705
1772704815.236523020,40,541
1772704816.253898205,40,0
1772704817.279912686,40,0
1772704818.298479570,40,0
1772704819.313769286,40,205
1772704820.334965646,40,390
1772704821.353832577,40,389
1772704822.375854864,40,1317
1772704823.390832460,40,340
1772704824.411869890,40,260
1772704825.431441451,39,82
1772704826.451227806,39,169
1772704827.471707810,39,0
1772704828.493516743,39,0
1772704829.511049018,38,176
1772704830.531903867,39,177
1772704831.551838821,39,0
1772704832.572512083,39,510
1772704833.597432858,39,0
1772704834.616908355,39,388
1772704835.640837169,39,195
1772704836.659873847,39,0
1772704837.679905929,39,0
1772704838.703788087,39,0
1772704839.725298944,39,0
1772704840.751559415,39,0
1772704841.771873026,39,0
1772704842.784930537,39,0
1772704843.803904308,39,441
1772704844.820588304,39,0
1772704845.844838395,39,0
1772704846.863419389,39,0
1772704847.879676433,39,0
1772704848.888708042,39,0
1772704849.897830534,39,0
1772704850.908145752,39,0
