timestamp,cpu_idx,processed,dropped,time_squeeze
1772855313.278795258,0,0x04b3dbc7,0x00000000,0x00000007
1772855313.278795258,1,0x057a28af,0x00000000,0x00000000
1772855313.278795258,2,0x05c37cad,0x00000000,0x00000000
1772855313.278795258,3,0x05c37d3a,0x00000000,0x00000000
1772855313.278795258,4,0x061b92ca,0x00000000,0x00000000
1772855313.278795258,5,0x05a73b72,0x00000000,0x00000000
1772855313.278795258,6,0x05d079c1,0x00000000,0x00000000
1772855313.278795258,7,0x053fd948,0x00000000,0x00000000
1772855314.460675622,0,0x04b3dbce,0x00000000,0x00000007
1772855314.460675622,1,0x057a28af,0x00000000,0x00000000
1772855314.460675622,2,0x05c37cb1,0x00000000,0x00000000
1772855314.460675622,3,0x05c37d3b,0x00000000,0x00000000
1772855314.460675622,4,0x061b9386,0x00000000,0x00000000
1772855314.460675622,5,0x05a73b7f,0x00000000,0x00000000
1772855314.460675622,6,0x05d079dd,0x00000000,0x00000000
1772855314.460675622,7,0x053fd948,0x00000000,0x00000000
1772855315.576490598,0,0x04b3dc00,0x00000000,0x00000007
1772855315.576490598,1,0x057a2d6f,0x00000000,0x00000000
1772855315.576490598,2,0x05c3908b,0x00000000,0x00000000
1772855315.576490598,3,0x05c37d3b,0x00000000,0x00000000
1772855315.576490598,4,0x061b9402,0x00000000,0x00000000
1772855315.576490598,5,0x05a73b81,0x00000000,0x00000000
1772855315.576490598,6,0x05d087ad,0x00000000,0x00000000
1772855315.576490598,7,0x053fd948,0x00000000,0x00000000
1772855316.783777263,0,0x04b3dcf7,0x00000000,0x00000007
1772855316.783777263,1,0x057a2e16,0x00000000,0x00000000
1772855316.783777263,2,0x05c3dd99,0x00000000,0x00000000
1772855316.783777263,3,0x05c37d53,0x00000000,0x00000000
1772855316.783777263,4,0x061b940b,0x00000000,0x00000000
1772855316.783777263,5,0x05a73b81,0x00000000,0x00000000
1772855316.783777263,6,0x05d0fbd6,0x00000000,0x00000000
1772855316.783777263,7,0x053fd94c,0x00000000,0x00000000
1772855317.995283860,0,0x04b3dd2e,0x00000000,0x00000007
1772855317.995283860,1,0x057a2e34,0x00000000,0x00000000
1772855317.995283860,2,0x05c3de54,0x00000000,0x00000000
1772855317.995283860,3,0x05c37d74,0x00000000,0x00000000
1772855317.995283860,4,0x061b940b,0x00000000,0x00000000
1772855317.995283860,5,0x05a73b85,0x00000000,0x00000000
1772855317.995283860,6,0x05d19b0a,0x00000000,0x00000000
1772855317.995283860,7,0x053fd956,0x00000000,0x00000000
1772855319.205412424,0,0x04b3dd9b,0x00000000,0x00000007
1772855319.205412424,1,0x057a73e0,0x00000000,0x00000000
1772855319.205412424,2,0x05c45ab0,0x00000000,0x00000000
1772855319.205412424,3,0x05c37d74,0x00000000,0x00000000
1772855319.205412424,4,0x061b9db9,0x00000000,0x00000000
1772855319.205412424,5,0x05a7555a,0x00000000,0x00000000
1772855319.205412424,6,0x05d1b247,0x00000000,0x00000000
1772855319.205412424,7,0x053fd95e,0x00000000,0x00000000
1772855320.385401324,0,0x04b3e551,0x00000000,0x00000007
1772855320.385401324,1,0x057aba2d,0x00000000,0x00000000
1772855320.385401324,2,0x05c47cca,0x00000000,0x00000000
1772855320.385401324,3,0x05c3c718,0x00000000,0x00000000
1772855320.385401324,4,0x061bcd5f,0x00000000,0x00000000
1772855320.385401324,5,0x05a771f2,0x00000000,0x00000000
1772855320.385401324,6,0x05d1be43,0x00000000,0x00000000
1772855320.385401324,7,0x053fd963,0x00000000,0x00000000
1772855321.546183702,0,0x04b412d5,0x00000000,0x00000007
1772855321.546183702,1,0x057aba79,0x00000000,0x00000000
1772855321.546183702,2,0x05c4892b,0x00000000,0x00000000
1772855321.546183702,3,0x05c3dc25,0x00000000,0x00000000
1772855321.546183702,4,0x061bde83,0x00000000,0x00000000
1772855321.546183702,5,0x05a80c3d,0x00000000,0x00000000
1772855321.546183702,6,0x05d1be4a,0x00000000,0x00000000
1772855321.546183702,7,0x053fd963,0x00000000,0x00000000
1772855322.680859921,0,0x04b4854a,0x00000000,0x00000007
1772855322.680859921,1,0x057b13ff,0x00000000,0x00000000
1772855322.680859921,2,0x05c4892b,0x00000000,0x00000000
1772855322.680859921,3,0x05c3f7dd,0x00000000,0x00000000
1772855322.680859921,4,0x061bf4a5,0x00000000,0x00000000
1772855322.680859921,5,0x05a816d5,0x00000000,0x00000000
1772855322.680859921,6,0x05d1be4a,0x00000000,0x00000000
1772855322.680859921,7,0x053fd963,0x00000000,0x00000000
1772855323.794945093,0,0x04b499be,0x00000000,0x00000007
1772855323.794945093,1,0x057b44ed,0x00000000,0x00000000
1772855323.794945093,2,0x05c4892b,0x00000000,0x00000000
1772855323.794945093,3,0x05c40c5f,0x00000000,0x00000000
1772855323.794945093,4,0x061c7101,0x00000000,0x00000000
1772855323.794945093,5,0x05a83579,0x00000000,0x00000000
1772855323.794945093,6,0x05d1be4b,0x00000000,0x00000000
1772855323.794945093,7,0x053fd977,0x00000000,0x00000000
1772855324.919112401,0,0x04b4ac0f,0x00000000,0x00000007
1772855324.919112401,1,0x057b9eaf,0x00000000,0x00000000
1772855324.919112401,2,0x05c4892e,0x00000000,0x00000000
1772855324.919112401,3,0x05c435c5,0x00000000,0x00000000
1772855324.919112401,4,0x061cbf4d,0x00000000,0x00000000
1772855324.919112401,5,0x05a83794,0x00000000,0x00000000
1772855324.919112401,6,0x05d1be4b,0x00000000,0x00000000
1772855324.919112401,7,0x054006c3,0x00000000,0x00000000
1772855326.071869139,0,0x04b4acb0,0x00000000,0x00000007
1772855326.071869139,1,0x057c3ad9,0x00000000,0x00000000
1772855326.071869139,2,0x05c4bade,0x00000000,0x00000000
1772855326.071869139,3,0x05c46eba,0x00000000,0x00000000
1772855326.071869139,4,0x061cbf97,0x00000000,0x00000000
1772855326.071869139,5,0x05a87521,0x00000000,0x00000000
1772855326.071869139,6,0x05d1be58,0x00000000,0x00000000
1772855326.071869139,7,0x054006d5,0x00000000,0x00000000
1772855327.216048183,0,0x04b4ace5,0x00000000,0x00000007
1772855327.216048183,1,0x057d0002,0x00000000,0x00000000
1772855327.216048183,2,0x05c4bade,0x00000000,0x00000000
1772855327.216048183,3,0x05c46ec8,0x00000000,0x00000000
1772855327.216048183,4,0x061cbfee,0x00000000,0x00000000
1772855327.216048183,5,0x05a936a9,0x00000000,0x00000000
1772855327.216048183,6,0x05d1be5c,0x00000000,0x00000000
1772855327.216048183,7,0x054006d5,0x00000000,0x00000000
1772855328.405870484,0,0x04b4ca04,0x00000000,0x00000007
1772855328.405870484,1,0x057d9ddb,0x00000000,0x00000000
1772855328.405870484,2,0x05c4bade,0x00000000,0x00000000
1772855328.405870484,3,0x05c46ed2,0x00000000,0x00000000
1772855328.405870484,4,0x061cbfee,0x00000000,0x00000000
1772855328.405870484,5,0x05a9b715,0x00000000,0x00000000
1772855328.405870484,6,0x05d1be6c,0x00000000,0x00000000
1772855328.405870484,7,0x054006d5,0x00000000,0x00000000
1772855329.608269977,0,0x04b50670,0x00000000,0x00000007
1772855329.608269977,1,0x057e01b4,0x00000000,0x00000000
1772855329.608269977,2,0x05c51d1d,0x00000000,0x00000000
1772855329.608269977,3,0x05c46ed2,0x00000000,0x00000000
1772855329.608269977,4,0x061cbfee,0x00000000,0x00000000
1772855329.608269977,5,0x05aa27ba,0x00000000,0x00000000
1772855329.608269977,6,0x05d1bf22,0x00000000,0x00000000
1772855329.608269977,7,0x054006d5,0x00000000,0x00000000
1772855330.808115593,0,0x04b50670,0x00000000,0x00000007
1772855330.808115593,1,0x057e01be,0x00000000,0x00000000
1772855330.808115593,2,0x05c5479e,0x00000000,0x00000000
1772855330.808115593,3,0x05c46ed2,0x00000000,0x00000000
1772855330.808115593,4,0x061cbfee,0x00000000,0x00000000
1772855330.808115593,5,0x05aaf978,0x00000000,0x00000000
1772855330.808115593,6,0x05d2757e,0x00000000,0x00000000
1772855330.808115593,7,0x054006d5,0x00000000,0x00000000
1772855332.006926051,0,0x04b533dc,0x00000000,0x00000007
1772855332.006926051,1,0x057e030c,0x00000000,0x00000000
1772855332.006926051,2,0x05c5479e,0x00000000,0x00000000
1772855332.006926051,3,0x05c46ed4,0x00000000,0x00000000
1772855332.006926051,4,0x061d6972,0x00000000,0x00000000
1772855332.006926051,5,0x05ab5c60,0x00000000,0x00000000
1772855332.006926051,6,0x05d277a9,0x00000000,0x00000000
1772855332.006926051,7,0x054006d5,0x00000000,0x00000000
1772855333.188574165,0,0x04b5be53,0x00000000,0x00000007
1772855333.188574165,1,0x057e0322,0x00000000,0x00000000
1772855333.188574165,2,0x05c547a0,0x00000000,0x00000000
1772855333.188574165,3,0x05c46ed4,0x00000000,0x00000000
1772855333.188574165,4,0x061e3bd6,0x00000000,0x00000000
1772855333.188574165,5,0x05ab5c9a,0x00000000,0x00000000
1772855333.188574165,6,0x05d27856,0x00000000,0x00000000
1772855333.188574165,7,0x054006d5,0x00000000,0x00000000
1772855334.416045668,0,0x04b656e6,0x00000000,0x00000007
1772855334.416045668,1,0x057e034c,0x00000000,0x00000000
1772855334.416045668,2,0x05c547a5,0x00000000,0x00000000
1772855334.416045668,3,0x05c46ee3,0x00000000,0x00000000
1772855334.416045668,4,0x061efebc,0x00000000,0x00000000
1772855334.416045668,5,0x05ab5ca7,0x00000000,0x00000000
1772855334.416045668,6,0x05d278f9,0x00000000,0x00000000
1772855334.416045668,7,0x05400707,0x00000000,0x00000000
1772855335.624005812,0,0x04b70ac1,0x00000000,0x00000007
1772855335.624005812,1,0x057e034c,0x00000000,0x00000000
1772855335.624005812,2,0x05c54824,0x00000000,0x00000000
1772855335.624005812,3,0x05c46ee3,0x00000000,0x00000000
1772855335.624005812,4,0x061f9e16,0x00000000,0x00000000
1772855335.624005812,5,0x05ab5cb1,0x00000000,0x00000000
1772855335.624005812,6,0x05d27966,0x00000000,0x00000000
1772855335.624005812,7,0x05400710,0x00000000,0x00000000
1772855336.820676864,0,0x04b7c2e0,0x00000000,0x00000007
1772855336.820676864,1,0x057e034c,0x00000000,0x00000000
1772855336.820676864,2,0x05c54873,0x00000000,0x00000000
1772855336.820676864,3,0x05c46ee3,0x00000000,0x00000000
1772855336.820676864,4,0x062025ac,0x00000000,0x00000000
1772855336.820676864,5,0x05ab5cc5,0x00000000,0x00000000
1772855336.820676864,6,0x05d27a2c,0x00000000,0x00000000
1772855336.820676864,7,0x05400f80,0x00000000,0x00000000
1772855337.973824417,0,0x04b7c31c,0x00000000,0x00000007
1772855337.973824417,1,0x057e0365,0x00000000,0x00000000
1772855337.973824417,2,0x05c5488a,0x00000000,0x00000000
1772855337.973824417,3,0x05c4a110,0x00000000,0x00000000
1772855337.973824417,4,0x062025f2,0x00000000,0x00000000
1772855337.973824417,5,0x05ab5ccf,0x00000000,0x00000000
