@runq_delay_us: 
[16, 32)            1018 |@                                                   |
[32, 64)             681 |@                                                   |
[64, 128)            107 |                                                    |
[128, 256)            55 |                                                    |
[256, 512)            42 |                                                    |
[512, 1K)             33 |                                                    |
[1K, 2K)              57 |                                                    |
[2K, 4K)              29 |                                                    |
[4K, 8K)              10 |                                                    |
[8K, 16K)              2 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 159158
@runq_delay_us: 
[0]                 4336 |@@@@@                                               |
[1]                42497 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             38749 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[4, 8)              4672 |@@@@@                                               |
[8, 16)             1251 |@                                                   |
[16, 32)            1097 |@                                                   |
[32, 64)             750 |                                                    |
[64, 128)            116 |                                                    |
[128, 256)            58 |                                                    |
[256, 512)            43 |                                                    |
[512, 1K)             34 |                                                    |
[1K, 2K)              59 |                                                    |
[2K, 4K)              32 |                                                    |
[4K, 8K)              10 |                                                    |
[8K, 16K)              2 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 185565
@runq_delay_us: 
[0]                 5605 |@@@@@                                               |
[1]                51910 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)             47471 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[4, 8)              5892 |@@@@@                                               |
[8, 16)             1606 |@                                                   |
[16, 32)            1320 |@                                                   |
[32, 64)             860 |                                                    |
[64, 128)            122 |                                                    |
[128, 256)            63 |                                                    |
[256, 512)            48 |                                                    |
[512, 1K)             42 |                                                    |
[1K, 2K)              64 |                                                    |
[2K, 4K)              37 |                                                    |
[4K, 8K)              11 |                                                    |
[8K, 16K)              2 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 227873
@runq_delay_us: 
[0]                 8306 |@@@@@@@                                             |
[1]                59317 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
